,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Los Angeles Lakers,108,Indiana Pacers,115,17,9,8,816.0,107.3,109.4,-2.2,55.7,1.44,16.4,28.7,73.3,50.9,15.4,51.1,55.1,100.29,47.4,16,8,8,783.0,103.1,105.0,-1.9,54.7,1.39,16.3,26.0,69.8,48.1,15.6,50.1,53.8,98.05,49.2,-7
1,Orlando Magic,103,Philadelphia 76ers,101,15,7,8,720.0,98.2,102.3,-4.1,58.9,1.53,16.1,27.9,73.2,50.1,14.4,46.2,49.7,93.97,47.3,16,4,12,788.0,100.4,109.6,-9.2,62.1,1.30,17.2,27.9,71.3,49.9,18.0,50.6,53.5,96.58,45.6,2
2,New York Knicks,89,Detroit Pistons,102,16,8,8,773.0,106.8,109.5,-2.7,55.4,1.66,16.5,31.3,69.9,50.2,13.8,49.6,52.9,96.43,49.1,17,8,9,816.0,105.6,104.7,0.9,52.7,1.86,16.1,27.3,73.7,50.2,11.7,48.9,52.3,94.21,49.8,-13
3,Sacramento Kings,96,Miami Heat,108,14,5,9,687.0,106.1,109.2,-3.2,56.2,1.49,16.3,27.1,74.0,50.3,14.7,50.0,54.3,95.34,48.3,15,5,10,725.0,101.8,103.8,-2.1,54.0,1.53,15.3,28.8,70.5,49.0,13.6,47.3,50.3,93.72,47.5,-12
4,Memphis Grizzlies,80,Minnesota Timberwolves,116,16,9,7,783.0,101.6,102.8,-1.2,56.1,1.34,15.3,28.3,74.0,50.2,15.3,46.8,51.6,92.66,48.3,16,5,11,768.0,106.8,107.0,-0.2,58.3,1.43,16.4,30.3,72.3,50.3,15.7,49.6,54.4,97.09,48.9,-36
5,Milwaukee Bucks,117,New Orleans Pelicans,113,13,7,6,629.0,106.6,104.2,2.4,62.6,1.59,18.3,28.8,73.2,51.6,15.9,51.6,55.2,96.92,51.9,16,7,9,783.0,104.1,104.6,-0.5,60.4,1.72,17.4,21.7,72.4,48.0,13.5,50.4,54.6,97.72,50.8,4
6,Utah Jazz,106,San Antonio Spurs,91,16,10,6,768.0,108.7,101.1,7.6,50.1,1.53,15.3,23.4,74.6,50.6,13.0,52.4,56.3,92.13,54.7,15,11,4,720.0,108.4,106.6,1.8,61.7,1.76,17.9,25.1,73.3,50.0,13.7,51.6,56.5,93.13,53.1,15
7,Golden State Warriors,127,Portland Trail Blazers,104,15,14,1,720.0,118.5,102.5,16.0,72.1,2.16,22.1,27.4,70.8,50.8,14.6,58.5,61.7,100.60,60.4,17,8,9,826.0,110.3,113.7,-3.4,56.3,1.70,16.8,25.9,71.2,48.3,13.4,52.2,56.1,99.14,47.7,23
8,Philadelphia 76ers,93,Charlotte Hornets,109,16,4,12,788.0,100.4,109.6,-9.2,62.1,1.30,17.2,27.9,71.3,49.9,18.0,50.6,53.5,96.58,45.6,15,8,7,730.0,107.5,106.1,1.5,63.9,1.96,18.0,24.9,73.1,49.4,12.6,50.6,54.5,96.79,51.5,-16
9,Toronto Raptors,113,Washington Wizards,103,15,10,5,725.0,114.5,109.6,5.0,51.5,1.69,15.8,27.1,71.4,49.4,12.5,53.5,58.3,96.33,52.0,15,6,9,730.0,105.1,107.2,-2.1,53.2,1.43,15.7,31.0,71.2,50.6,14.9,49.4,53.0,96.53,48.8,10
10,Los Angeles Lakers,123,Atlanta Hawks,116,17,9,8,816.0,107.3,109.4,-2.2,55.7,1.44,16.4,28.7,73.3,50.9,15.4,51.1,55.1,100.29,47.4,16,7,9,768.0,101.7,102.8,-1.1,58.9,1.27,16.7,28.6,71.4,50.5,18.0,50.7,53.7,99.13,50.9,7
11,Detroit Pistons,101,Brooklyn Nets,109,17,8,9,816.0,105.6,104.7,0.9,52.7,1.86,16.1,27.3,73.7,50.2,11.7,48.9,52.3,94.21,49.8,13,4,9,634.0,103.3,112.2,-8.8,55.2,1.24,15.5,23.6,71.8,47.9,16.4,51.5,55.5,101.56,45.0,-8
12,Houston Rockets,118,New York Knicks,99,15,9,6,720.0,113.4,109.6,3.8,61.3,1.56,18.1,30.9,72.2,51.1,16.3,54.8,57.7,97.33,50.1,16,8,8,773.0,106.8,109.5,-2.7,55.4,1.66,16.5,31.3,69.9,50.2,13.8,49.6,52.9,96.43,49.1,19
13,Chicago Bulls,100,Boston Celtics,107,14,7,7,672.0,107.0,103.6,3.4,52.3,1.54,15.0,33.5,71.4,52.1,13.4,46.6,51.5,95.82,51.4,15,8,7,720.0,107.9,107.5,0.3,62.5,2.02,17.9,26.0,68.6,47.0,12.2,50.3,54.1,96.70,49.3,-7
14,New Orleans Pelicans,83,Memphis Grizzlies,89,16,7,9,783.0,104.1,104.6,-0.5,60.4,1.72,17.4,21.7,72.4,48.0,13.5,50.4,54.6,97.72,50.8,16,9,7,783.0,101.6,102.8,-1.2,56.1,1.34,15.3,28.3,74.0,50.2,15.3,46.8,51.6,92.66,48.3,-6
15,Dallas Mavericks,81,Utah Jazz,97,14,3,11,677.0,95.9,106.2,-10.3,53.8,1.36,14.8,22.8,73.0,46.8,14.2,46.2,50.0,91.60,44.3,16,10,6,768.0,108.7,101.1,7.6,50.1,1.53,15.3,23.4,74.6,50.6,13.0,52.4,56.3,92.13,54.7,-16
16,Portland Trail Blazers,115,Phoenix Suns,118,17,8,9,826.0,110.3,113.7,-3.4,56.3,1.70,16.8,25.9,71.2,48.3,13.4,52.2,56.1,99.14,47.7,15,6,9,730.0,104.5,108.1,-3.6,46.1,1.14,13.4,29.4,72.2,50.4,15.5,48.8,53.3,101.85,46.5,-3
