,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Detroit Pistons,98,Milwaukee Bucks,121,16,6,10,773.0,104.5,109.6,-5.2,60.2,1.61,16.8,25.9,76.1,49.7,14.2,50.2,53.7,95.97,45.9,15,12,3,720.0,114.2,102.7,11.6,59.8,1.95,19.0,22.9,75.2,50.9,13.2,56.6,59.6,102.83,57.4,-23
1,New York Knicks,108,Denver Nuggets,115,13,1,12,624.0,102.9,113.0,-10.1,52.9,1.61,14.9,23.3,66.3,44.4,12.2,47.6,52.1,99.50,44.3,16,12,4,768.0,117.8,111.1,6.7,62.6,2.32,19.6,32.7,75.9,54.1,12.2,54.5,57.3,97.34,53.5,-7
2,Portland Trail Blazers,113,Sacramento Kings,108,15,11,4,725.0,117.0,108.1,8.8,60.8,2.03,18.7,30.3,73.7,52.6,13.0,54.3,58.4,99.97,55.6,15,7,8,725.0,106.7,108.5,-1.8,63.7,1.90,18.7,28.2,70.3,48.8,13.8,51.5,53.9,101.46,49.4,5
3,Philadelphia 76ers,119,Los Angeles Clippers,113,15,11,4,720.0,115.7,108.7,7.0,70.4,1.84,20.3,31.2,74.8,53.6,15.8,56.4,60.1,103.07,55.4,16,7,9,773.0,109.1,109.4,-0.3,60.5,1.82,17.6,26.4,71.4,49.0,13.2,51.4,55.4,100.97,49.2,6
4,Dallas Mavericks,122,Charlotte Hornets,84,15,6,9,720.0,108.8,108.0,0.8,58.7,1.68,16.7,29.7,71.9,50.9,13.8,51.1,54.3,97.33,50.1,14,6,8,672.0,106.7,114.0,-7.3,58.2,1.62,16.6,27.6,74.5,50.5,14.0,50.4,54.0,98.79,45.6,38
5,Miami Heat,117,Cleveland Cavaliers,92,14,7,7,672.0,106.0,108.3,-2.3,65.0,1.73,18.9,27.4,74.6,51.0,15.3,52.7,54.7,96.14,49.3,15,3,12,720.0,105.6,120.7,-15.2,56.2,1.56,16.3,25.0,73.1,47.6,13.9,50.9,54.7,98.00,41.1,25
6,Atlanta Hawks,98,Washington Wizards,114,14,5,9,672.0,108.5,113.3,-4.8,61.0,1.33,17.5,32.5,70.7,51.5,18.4,53.1,56.5,103.71,46.3,14,8,6,682.0,110.6,107.2,3.4,65.4,2.08,19.4,24.4,71.5,47.7,13.0,54.0,56.8,100.75,51.1,-16
7,New Orleans Pelicans,121,Brooklyn Nets,126,14,6,8,672.0,114.5,111.0,3.5,60.2,1.98,18.8,25.0,72.9,50.0,13.1,54.9,58.5,102.43,52.3,15,11,4,725.0,110.7,106.9,3.8,56.7,1.48,16.4,30.0,72.9,51.8,15.2,52.6,56.4,103.18,51.3,-5
8,Minnesota Timberwolves,102,Boston Celtics,115,14,8,6,677.0,110.2,109.2,1.0,59.1,1.75,16.8,32.1,73.3,51.7,13.5,49.5,54.1,100.43,49.6,15,11,4,720.0,114.5,104.8,9.7,64.0,1.96,19.6,27.9,70.9,50.3,14.2,55.3,58.4,99.90,55.7,-13
9,Orlando Magic,112,Chicago Bulls,84,16,5,11,773.0,107.6,109.7,-2.0,61.7,1.92,18.2,24.5,77.2,50.4,13.0,51.5,54.7,98.24,49.5,15,2,13,725.0,104.7,115.1,-10.4,54.8,1.59,16.3,25.0,72.8,48.3,13.8,50.3,53.8,98.71,44.0,28
