,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Oklahoma City Thunder,81,Washington Wizards,96,11,6,5,528.0,106.1,107.3,-1.1,57.1,1.31,16.7,28.2,71.3,50.1,17.3,51.8,55.9,94.86,48.8,13,8,5,649.0,107.9,104.0,3.9,57.6,1.91,17.6,27.4,70.6,48.1,12.6,51.3,54.3,93.49,52.0,-15
1,Minnesota Timberwolves,113,Atlanta Hawks,120,11,5,6,528.0,107.1,106.1,1.0,60.2,1.63,16.7,32.7,71.3,51.6,14.2,48.6,53.4,98.00,51.4,12,2,10,576.0,102.7,109.9,-7.1,66.7,1.54,18.5,24.3,67.8,46.7,16.3,51.3,54.9,94.54,46.3,-7
2,Philadelphia 76ers,96,Detroit Pistons,113,11,0,11,528.0,94.8,113.1,-18.3,54.9,1.13,14.6,28.7,65.1,45.4,17.4,44.9,48.9,101.68,36.4,13,5,8,624.0,108.5,109.0,-0.4,55.5,1.67,16.6,34.9,68.3,50.8,14.1,49.1,52.0,96.69,48.0,-17
3,Cleveland Cavaliers,92,Houston Rockets,106,14,8,6,677.0,106.8,105.2,1.7,62.3,1.67,17.1,34.6,71.3,52.5,14.5,47.3,52.2,93.55,50.4,10,8,2,485.0,112.2,102.7,9.5,57.0,1.25,16.7,32.6,71.8,53.6,18.4,55.2,59.3,98.57,56.4,-14
4,Milwaukee Bucks,90,Memphis Grizzlies,99,11,3,8,528.0,106.0,109.9,-3.9,59.3,1.46,16.6,34.1,69.8,51.3,16.0,49.3,53.2,93.64,46.2,12,7,5,581.0,102.0,102.7,-0.6,59.1,1.56,17.4,29.5,71.4,50.9,15.4,49.0,52.5,90.26,51.2,-9
5,Chicago Bulls,79,New Orleans Pelicans,88,13,9,4,624.0,101.9,98.9,3.0,64.0,1.33,17.0,33.7,73.4,54.1,17.9,47.7,52.7,91.92,55.1,13,4,9,624.0,106.2,110.5,-4.2,53.8,1.48,16.3,30.3,69.2,49.6,15.0,50.5,53.8,90.31,46.0,-9
6,Miami Heat,106,New York Knicks,91,10,9,1,480.0,113.7,102.6,11.1,57.2,1.67,18.2,23.6,64.7,45.7,14.6,56.5,59.8,92.30,57.0,13,2,11,639.0,105.3,112.2,-6.9,52.7,1.38,15.6,30.5,73.8,50.9,15.2,50.5,53.5,92.47,45.8,15
7,Sacramento Kings,93,San Antonio Spurs,95,12,5,7,581.0,104.9,104.9,0.0,49.4,1.14,13.7,31.5,71.2,51.5,16.0,47.0,53.2,95.55,49.1,12,9,3,586.0,105.6,104.3,1.3,59.4,1.48,17.6,24.4,70.0,48.5,15.8,51.8,56.4,96.00,52.5,-2
8,Charlotte Bobcats,95,Phoenix Suns,105,10,6,4,480.0,104.9,101.2,3.8,64.9,2.15,18.4,27.0,74.9,51.1,11.8,48.5,52.4,93.00,53.3,12,6,6,581.0,107.0,106.4,0.6,46.9,1.11,13.8,30.9,72.2,51.2,16.4,51.1,55.3,97.24,49.4,-10
9,Toronto Raptors,103,Portland Trail Blazers,106,12,7,5,591.0,110.7,106.8,3.9,62.4,1.82,17.9,33.0,66.8,49.9,13.8,49.9,54.5,90.80,51.8,12,7,5,581.0,109.9,104.7,5.2,54.9,1.49,15.9,31.0,69.1,50.5,14.6,50.0,55.2,95.96,52.6,-3
