,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Utah Jazz,104,Portland Trail Blazers,113,3,1,2,144.0,100.7,105.1,-4.3,51.0,1.11,14.3,24.8,69.4,47.7,16.8,48.0,52.8,91.50,48.0,3,2,1,149.0,108.1,107.8,0.3,51.2,1.47,15.7,22.0,69.2,47.7,13.9,52.9,57.4,99.22,51.2,-9
1,San Antonio Spurs,129,Golden State Warriors,100,4,4,0,192.0,115.1,96.9,18.2,57.4,1.82,16.8,31.8,76.4,53.9,13.0,50.9,56.2,95.25,57.8,3,2,1,144.0,105.5,110.3,-4.8,69.7,1.80,19.5,21.2,66.1,44.6,14.8,50.6,55.8,103.67,49.5,29
2,Dallas Mavericks,121,Indiana Pacers,130,3,0,3,149.0,103.0,108.2,-5.2,50.0,1.47,14.2,24.7,75.9,48.5,12.6,48.3,52.3,97.61,45.7,3,1,2,149.0,104.5,110.0,-5.5,67.7,2.05,19.8,26.1,71.2,48.1,13.5,49.8,53.0,100.19,48.1,-9
3,Miami Heat,108,Orlando Magic,96,3,1,2,144.0,103.5,104.9,-1.4,56.0,1.48,16.2,33.5,68.1,51.3,15.3,48.9,51.3,95.50,48.9,3,0,3,144.0,97.2,112.2,-15.0,58.1,1.49,15.3,32.7,66.9,49.1,14.4,43.3,46.6,95.17,41.4,12
4,Detroit Pistons,91,Toronto Raptors,109,3,2,1,144.0,104.2,95.8,8.4,54.9,1.60,16.8,32.2,73.4,53.9,14.7,48.7,51.5,95.17,55.7,3,2,1,144.0,106.3,100.3,5.9,38.5,1.18,11.8,33.1,74.7,53.4,13.2,46.4,51.6,95.50,52.4,-18
5,Brooklyn Nets,117,Boston Celtics,122,4,1,3,192.0,101.7,108.6,-6.8,52.3,1.22,14.4,29.2,69.0,48.2,15.9,47.1,51.6,102.25,43.5,3,2,1,144.0,110.2,108.5,1.7,66.4,1.89,20.6,20.6,69.7,48.0,14.9,57.7,59.8,98.33,53.7,-5
6,Charlotte Hornets,107,Milwaukee Bucks,96,3,2,1,144.0,105.6,102.8,2.8,64.5,2.56,17.6,25.3,72.8,48.8,9.4,45.6,51.1,94.83,55.1,3,1,2,144.0,99.7,107.6,-7.9,61.4,2.06,17.6,24.8,68.6,46.2,11.7,45.5,49.4,96.83,45.9,11
7,Denver Nuggets,107,New Orleans Pelicans,102,3,1,2,149.0,101.3,101.6,-0.3,47.2,1.02,12.2,31.3,80.9,55.8,15.7,45.3,51.8,102.28,50.0,3,0,3,144.0,94.2,104.8,-10.6,63.2,2.06,17.7,20.0,76.7,46.6,11.5,44.2,48.2,104.17,43.8,5
8,Minnesota Timberwolves,98,Memphis Grizzlies,102,2,0,2,96.0,112.3,113.7,-1.4,53.4,1.56,15.8,31.9,63.9,48.4,14.0,51.0,55.1,90.50,49.4,3,2,1,149.0,109.7,109.1,0.6,55.4,1.59,15.7,30.5,71.4,50.7,13.4,51.0,55.1,92.78,49.7,-4
9,Oklahoma City Thunder,103,Philadelphia 76ers,97,3,3,0,149.0,103.1,94.4,8.7,49.2,1.17,14.1,32.2,75.6,53.4,16.3,47.0,51.3,103.09,54.6,2,0,2,96.0,84.5,103.0,-18.5,57.8,1.09,14.5,19.4,73.4,47.2,17.0,42.7,46.5,100.25,37.3,6
10,Sacramento Kings,113,Phoenix Suns,94,4,2,2,192.0,109.1,109.5,-0.4,65.3,1.55,18.3,31.1,70.5,50.8,16.6,51.4,56.1,93.00,50.2,4,0,4,197.0,95.5,106.7,-11.2,48.7,1.11,13.5,24.8,72.9,48.4,15.7,46.7,50.8,102.46,42.2,19
11,Houston Rockets,114,Los Angeles Lakers,120,3,2,1,144.0,108.3,107.6,0.7,59.5,1.29,16.9,26.5,72.8,50.5,17.6,53.8,57.6,96.17,51.4,3,1,2,144.0,101.3,108.8,-7.4,50.9,1.04,14.1,32.1,69.9,50.3,18.3,48.5,52.7,99.67,44.3,-6
