,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Sacramento Kings,110,Minnesota Timberwolves,107,14,4,10,677.0,101.7,106.3,-4.6,51.1,1.12,14.3,29.2,73.8,52.0,16.8,47.7,53.4,97.74,47.9,17,3,14,816.0,102.1,111.1,-9.0,59.2,1.44,16.5,32.4,69.1,49.8,15.9,46.8,51.5,93.41,45.3,3
1,Cleveland Cavaliers,91,Charlotte Hornets,87,17,11,6,816.0,110.1,106.4,3.8,51.3,1.46,15.1,33.0,69.1,51.0,14.2,50.6,54.1,93.00,50.5,14,10,4,677.0,99.4,95.1,4.3,57.4,1.69,15.5,30.9,74.8,52.7,12.7,44.0,48.4,93.52,53.3,4
2,Brooklyn Nets,100,Orlando Magic,98,15,3,12,730.0,99.2,108.9,-9.7,55.4,1.39,15.9,28.4,72.9,50.3,15.3,47.5,51.3,92.45,44.6,15,2,13,720.0,101.1,109.2,-8.1,55.8,1.42,16.2,23.9,72.9,47.2,15.1,49.1,52.9,99.17,43.2,2
3,Dallas Mavericks,119,Boston Celtics,101,16,9,7,778.0,106.7,102.9,3.8,59.2,1.83,17.6,25.7,67.5,47.1,13.2,51.3,54.5,93.87,52.1,16,5,11,778.0,101.8,106.8,-5.0,59.2,1.65,16.9,29.4,68.5,48.5,14.2,47.7,50.9,95.17,45.5,18
4,Detroit Pistons,97,New York Knicks,81,17,10,7,816.0,105.8,104.1,1.7,60.3,1.53,16.7,32.3,72.0,51.4,15.3,48.9,52.7,95.76,49.9,13,4,9,624.0,95.4,106.1,-10.7,65.4,1.53,17.6,26.3,70.7,47.8,15.8,47.1,49.8,93.15,44.2,16
5,Houston Rockets,83,New Orleans Pelicans,111,17,11,6,816.0,107.7,104.4,3.2,60.5,1.37,17.3,30.6,67.3,48.7,17.4,52.5,55.8,98.18,50.1,15,9,6,720.0,107.8,103.2,4.6,56.4,1.45,16.3,34.8,71.9,53.7,15.7,49.3,53.5,90.27,52.4,-28
6,Washington Wizards,102,Oklahoma City Thunder,109,17,9,8,831.0,104.7,104.5,0.2,61.4,1.55,18.3,28.2,73.7,52.4,16.2,51.7,55.1,93.72,52.4,14,7,7,677.0,100.4,102.6,-2.3,54.3,1.43,15.4,28.9,72.4,50.2,14.6,46.8,50.3,97.70,47.9,-7
7,Indiana Pacers,94,Milwaukee Bucks,91,16,5,11,778.0,99.4,103.1,-3.7,60.2,1.37,16.3,30.1,74.8,52.5,16.2,46.4,51.3,94.40,49.2,14,8,6,672.0,102.8,96.5,6.3,68.0,1.49,19.4,28.1,66.8,48.4,18.3,51.6,54.8,94.79,55.6,3
8,Philadelphia 76ers,96,Phoenix Suns,112,18,6,12,864.0,94.0,103.8,-9.9,63.3,1.20,16.1,29.4,65.5,46.9,18.3,45.3,49.0,93.81,43.1,15,10,5,730.0,106.8,104.9,2.0,51.3,1.35,15.7,28.9,68.7,49.2,15.5,51.9,55.3,98.96,51.3,-16
9,Atlanta Hawks,98,Utah Jazz,92,17,17,0,816.0,111.8,99.4,12.4,69.7,2.00,20.4,26.5,70.4,49.7,14.3,54.8,58.3,94.35,58.6,15,6,9,720.0,103.1,103.1,0.0,58.2,1.24,16.0,34.7,71.8,53.3,18.1,49.1,52.9,92.17,49.9,6
