,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Chicago Bulls,111,Miami Heat,129,17,8,9,816.0,104.6,108.7,-4.1,62.9,1.82,18.3,26.4,72.8,49.3,13.8,49.8,53.2,96.79,47.4,15,10,5,730.0,113.7,107.3,6.3,56.3,1.69,17.8,30.8,72.2,52.8,14.6,54.9,58.5,95.67,55.9,-18
1,Portland Trail Blazers,104,New York Knicks,85,16,8,8,778.0,108.8,109.9,-1.2,54.2,1.48,15.4,27.5,73.0,50.2,13.9,50.5,55.4,98.59,48.3,15,5,10,720.0,102.3,106.0,-3.7,58.4,1.63,16.9,24.6,73.5,49.8,13.9,49.0,52.7,94.23,49.3,19
2,Orlando Magic,108,Dallas Mavericks,121,17,6,11,816.0,105.3,107.6,-2.3,59.5,1.88,17.8,25.7,71.7,48.1,12.9,50.2,53.3,99.03,48.5,15,5,10,730.0,108.0,111.2,-3.2,62.0,1.92,18.5,25.7,71.9,48.8,13.3,51.6,55.3,97.18,49.0,-13
3,Atlanta Hawks,105,Golden State Warriors,109,16,12,4,773.0,108.0,99.1,8.9,66.8,1.96,19.6,21.9,69.1,47.2,13.7,53.2,56.5,96.81,55.9,17,15,2,826.0,114.3,104.1,10.1,68.5,2.04,20.4,27.7,73.6,51.5,14.2,55.5,58.6,98.56,55.9,-4
4,Brooklyn Nets,101,Los Angeles Lakers,107,15,4,11,725.0,108.4,115.5,-7.2,59.0,1.63,17.8,29.2,70.6,49.7,15.0,52.1,56.0,96.36,46.6,15,5,10,725.0,102.5,110.1,-7.6,50.6,1.41,14.3,27.4,72.5,49.0,13.5,46.6,51.4,95.40,43.6,-6
5,Chicago Bulls,89,Orlando Magic,102,17,8,9,816.0,104.6,108.7,-4.1,62.9,1.82,18.3,26.4,72.8,49.3,13.8,49.8,53.2,96.79,47.4,17,6,11,816.0,105.3,107.6,-2.3,59.5,1.88,17.8,25.7,71.7,48.1,12.9,50.2,53.3,99.03,48.5,-13
6,Charlotte Hornets,119,Philadelphia 76ers,99,16,13,3,768.0,112.4,103.7,8.7,58.0,2.07,17.5,24.2,76.3,50.9,11.3,52.9,57.0,97.06,54.9,15,1,14,720.0,100.4,110.6,-10.2,62.0,1.78,16.9,23.5,67.1,44.0,12.9,46.9,50.5,99.17,42.5,20
7,Portland Trail Blazers,93,Boston Celtics,116,16,8,8,778.0,108.8,109.9,-1.2,54.2,1.48,15.4,27.5,73.0,50.2,13.9,50.5,55.4,98.59,48.3,14,7,7,672.0,106.2,106.8,-0.6,53.9,1.57,15.3,32.2,68.8,50.2,13.4,47.4,52.2,97.82,49.8,-23
8,Utah Jazz,94,Toronto Raptors,104,16,9,7,773.0,105.2,100.7,4.5,56.9,1.33,16.2,31.2,76.1,53.7,16.8,50.8,54.1,91.65,52.7,16,11,5,778.0,111.4,106.7,4.7,51.0,1.47,14.7,30.9,74.2,52.8,13.5,50.2,55.4,93.22,52.6,-10
9,New Orleans Pelicans,95,Houston Rockets,100,17,5,12,821.0,101.8,107.1,-5.3,58.2,1.59,16.5,23.7,78.7,49.7,13.9,48.5,52.5,99.24,44.9,16,8,8,768.0,108.1,106.8,1.2,57.9,1.49,16.6,31.0,68.3,49.7,15.3,51.6,54.8,98.31,50.7,-5
10,Sacramento Kings,98,Memphis Grizzlies,104,17,6,11,816.0,105.1,106.1,-1.0,60.4,1.56,17.9,25.1,69.7,47.8,15.5,51.9,55.4,100.68,50.1,16,6,10,773.0,104.0,110.2,-6.3,51.8,1.34,14.7,34.5,69.9,50.4,15.2,46.0,50.4,95.07,43.7,-6
11,Indiana Pacers,104,Milwaukee Bucks,99,15,8,7,725.0,101.9,103.6,-1.7,59.7,1.56,16.8,25.1,71.5,48.4,14.5,48.6,53.0,96.56,50.5,15,6,9,720.0,105.6,108.0,-2.4,57.5,1.69,17.3,27.5,65.5,46.7,13.9,50.5,54.3,93.27,49.7,5
12,Washington Wizards,104,Minnesota Timberwolves,98,16,7,9,783.0,103.6,103.6,-0.1,62.0,1.60,18.3,25.8,76.7,50.5,15.6,51.5,54.0,99.34,49.9,15,6,9,730.0,106.1,110.1,-4.0,63.1,1.58,18.4,25.8,68.2,47.7,15.8,52.0,56.7,98.10,50.2,6
13,Detroit Pistons,81,San Antonio Spurs,97,15,9,6,720.0,107.8,109.1,-1.3,56.4,1.60,16.5,30.8,78.8,54.0,14.2,50.0,53.7,96.07,47.7,16,13,3,768.0,108.4,99.6,8.8,60.6,1.96,18.6,26.7,72.4,50.3,13.0,51.4,55.3,93.34,56.6,-16
