,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Brooklyn Nets,89,Miami Heat,102,16,5,11,778.0,103.2,109.4,-6.2,55.1,1.21,15.0,33.1,69.6,50.7,17.0,48.1,52.6,88.63,45.5,15,10,5,725.0,109.1,104.0,5.1,57.1,1.54,17.6,24.6,69.1,48.3,15.2,54.5,58.1,92.13,54.0,-13
1,Philadelphia 76ers,88,Chicago Bulls,93,15,4,11,725.0,101.8,107.2,-5.3,56.8,1.76,16.9,31.1,70.4,49.8,13.4,48.0,50.3,90.50,46.2,15,9,6,720.0,99.9,100.1,-0.3,64.6,1.56,17.6,30.4,68.0,49.7,15.8,46.4,50.8,90.53,51.8,-5
2,Utah Jazz,116,Houston Rockets,124,15,6,9,720.0,106.1,108.8,-2.7,61.2,1.51,17.3,33.1,69.0,50.9,16.0,49.1,53.7,93.10,48.6,16,10,6,773.0,108.3,105.3,3.0,60.0,1.47,17.4,24.9,74.8,49.9,15.9,53.6,57.7,100.13,50.5,-8
3,Oklahoma City Thunder,100,New Orleans Hornets,79,13,11,2,629.0,113.3,102.9,10.4,54.5,1.48,16.2,31.1,71.5,52.3,14.9,51.3,57.3,93.52,56.7,16,3,13,773.0,101.1,108.3,-7.1,57.8,1.43,16.6,31.5,69.3,49.9,16.1,48.0,51.4,87.99,44.3,21
4,Boston Celtics,88,Milwaukee Bucks,91,14,5,9,692.0,98.9,104.0,-5.2,62.9,1.57,17.8,26.4,70.0,48.3,15.4,48.1,51.9,91.49,48.3,15,9,6,725.0,99.6,99.8,-0.1,59.1,1.42,15.7,31.9,65.9,48.5,15.3,45.4,49.8,93.68,49.8,-3
5,Memphis Grizzlies,95,San Antonio Spurs,99,14,7,7,682.0,98.5,98.3,0.2,56.7,1.25,15.6,37.4,70.5,53.3,17.7,45.0,48.8,90.30,49.9,16,12,4,778.0,110.4,98.5,11.8,64.9,1.69,19.6,24.4,72.4,50.4,15.9,55.4,59.3,97.45,58.1,-4
6,Detroit Pistons,77,Dallas Mavericks,92,16,6,10,788.0,104.8,105.3,-0.5,52.3,1.35,14.8,35.9,70.8,52.9,15.3,47.3,51.0,88.99,47.5,15,5,10,740.0,98.7,106.3,-7.6,57.9,1.35,16.4,27.2,69.0,48.3,16.4,47.8,51.8,95.97,45.6,-15
7,Indiana Pacers,92,Golden State Warriors,103,15,10,5,720.0,103.5,99.3,4.2,58.5,1.36,16.3,32.3,69.1,51.2,16.6,48.8,52.9,89.83,54.0,16,12,4,773.0,108.3,102.6,5.7,60.4,1.65,17.8,29.7,70.2,50.9,14.9,51.4,55.6,95.29,53.7,-11
8,Sacramento Kings,81,Los Angeles Clippers,116,15,7,8,720.0,105.2,110.1,-4.9,59.6,1.48,16.5,30.7,66.5,48.5,15.4,48.5,53.2,94.40,46.6,16,16,0,768.0,113.5,96.1,17.4,63.0,2.00,19.2,31.9,70.8,51.6,13.8,53.1,56.0,92.63,60.9,-35
9,Phoenix Suns,99,New York Knicks,106,15,4,11,725.0,103.4,107.7,-4.3,60.4,1.76,17.8,27.6,66.3,46.6,14.0,49.4,52.6,92.49,47.0,15,10,5,720.0,110.2,107.6,2.5,53.3,1.88,15.9,28.9,71.1,48.7,11.5,50.5,53.7,92.47,49.8,-7
10,Orlando Magic,113,Los Angeles Lakers,103,16,7,9,773.0,102.6,103.6,-0.9,63.0,1.60,18.5,27.8,73.5,51.5,16.1,50.7,53.9,92.24,51.2,14,7,7,677.0,110.4,109.5,0.8,57.3,1.52,16.2,33.7,67.7,50.7,14.9,50.7,54.7,95.11,50.7,10
11,Portland Trail Blazers,118,Charlotte Bobcats,112,13,9,4,639.0,104.1,103.5,0.6,60.4,1.62,17.2,30.3,69.4,49.9,14.7,48.6,52.7,91.57,50.1,16,1,15,773.0,102.7,114.3,-11.6,56.8,1.45,15.6,32.6,66.6,49.2,14.9,46.9,51.1,92.83,42.9,6
12,Cleveland Cavaliers,79,Detroit Pistons,89,16,3,13,778.0,99.4,105.3,-5.9,55.4,1.34,15.0,33.1,68.9,49.7,15.6,45.4,49.1,91.62,43.3,16,6,10,788.0,104.8,105.3,-0.5,52.3,1.35,14.8,35.9,70.8,52.9,15.3,47.3,51.0,88.99,47.5,-10
13,Milwaukee Bucks,81,New Orleans Hornets,102,15,9,6,725.0,99.6,99.8,-0.1,59.1,1.42,15.7,31.9,65.9,48.5,15.3,45.4,49.8,93.68,49.8,16,3,13,773.0,101.1,108.3,-7.1,57.8,1.43,16.6,31.5,69.3,49.9,16.1,48.0,51.4,87.99,44.3,-21
