,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Denver Nuggets,110,Cleveland Cavaliers,91,15,9,6,720.0,112.3,104.7,7.7,65.6,1.92,19.5,32.6,73.8,53.2,14.6,53.1,56.0,97.10,54.3,14,3,11,672.0,103.9,112.8,-8.8,49.8,1.30,14.6,29.1,72.6,50.1,15.1,49.3,52.8,95.82,43.8,19
1,Los Angeles Clippers,113,Philadelphia 76ers,122,14,11,3,687.0,114.3,109.1,5.3,53.2,1.70,16.1,27.9,71.5,50.4,12.8,52.6,57.5,101.45,52.4,16,12,4,783.0,110.8,107.4,3.5,65.2,1.60,18.4,26.8,72.9,51.3,15.7,53.8,58.6,102.34,54.9,-9
2,Sacramento Kings,146,Atlanta Hawks,115,13,5,8,624.0,107.6,112.1,-4.5,58.8,1.76,17.6,25.6,70.7,47.9,13.6,52.2,55.2,105.19,47.7,16,3,13,768.0,101.1,111.7,-10.6,62.0,1.33,17.0,25.4,70.2,47.2,17.3,49.8,53.6,106.00,44.2,31
3,Milwaukee Bucks,113,Boston Celtics,117,14,8,6,677.0,116.8,108.9,7.9,61.3,1.92,19.1,26.8,77.7,52.7,13.8,56.7,59.6,102.98,54.3,15,7,8,730.0,109.5,105.9,3.5,61.2,1.90,18.2,26.8,73.8,49.9,13.2,53.1,56.0,99.62,52.3,-4
4,New Orleans Pelicans,119,Portland Trail Blazers,132,16,7,9,768.0,111.5,110.6,0.9,61.4,1.65,17.9,33.0,72.9,53.2,15.3,52.1,56.3,103.75,51.7,15,8,7,720.0,110.2,110.9,-0.6,50.9,1.46,15.1,30.2,74.3,51.9,14.1,51.0,54.8,100.57,48.5,-13
5,Los Angeles Clippers,120,Orlando Magic,95,14,11,3,687.0,114.3,109.1,5.3,53.2,1.70,16.1,27.9,71.5,50.4,12.8,52.6,57.5,101.45,52.4,16,9,7,768.0,109.4,108.1,1.2,64.6,1.97,19.6,23.5,71.6,47.9,13.7,54.0,57.0,98.91,51.6,25
6,Houston Rockets,119,Brooklyn Nets,111,15,9,6,730.0,115.5,111.9,3.6,55.3,1.45,16.3,30.6,68.2,49.2,15.4,55.2,58.8,94.72,50.4,15,5,10,730.0,109.6,110.3,-0.6,53.9,1.58,15.5,30.4,70.6,49.4,13.5,50.6,54.3,99.88,47.1,8
7,Indiana Pacers,107,Chicago Bulls,105,14,8,6,672.0,105.6,103.1,2.5,62.4,1.67,18.0,27.0,77.0,51.7,14.9,51.5,54.8,98.93,52.0,15,3,12,730.0,97.5,107.0,-9.6,57.9,1.38,16.2,20.6,72.8,46.7,15.3,48.1,52.0,100.96,44.6,2
8,Oklahoma City Thunder,134,Washington Wizards,111,15,12,3,720.0,110.3,100.3,10.0,54.8,1.68,16.5,31.4,73.6,52.2,13.7,51.6,54.6,101.50,55.1,15,7,8,725.0,108.4,112.5,-4.1,60.3,1.77,17.6,26.0,69.1,47.1,13.6,52.3,55.9,102.95,48.9,23
9,New York Knicks,118,Dallas Mavericks,106,15,5,10,730.0,106.5,112.5,-5.9,46.0,1.21,13.3,30.5,70.3,50.1,14.7,48.4,53.3,101.06,44.7,12,8,4,576.0,110.4,104.5,6.0,57.0,1.33,16.3,28.5,72.6,51.7,16.6,54.6,58.7,99.46,54.3,12
