,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Milwaukee Bucks,111,Brooklyn Nets,93,16,8,8,773.0,111.8,107.2,4.5,62.6,1.99,19.2,25.7,70.7,49.5,13.2,54.6,58.0,95.53,53.5,15,3,12,720.0,103.1,110.9,-7.8,57.7,1.20,15.8,24.4,68.9,47.4,17.4,50.5,55.2,102.93,45.1,18
1,Los Angeles Clippers,113,Cleveland Cavaliers,94,17,8,9,816.0,110.6,111.0,-0.4,56.5,1.66,17.1,27.3,72.6,50.3,14.1,53.2,56.6,97.00,49.6,16,12,4,773.0,114.7,107.4,7.3,56.8,1.60,16.9,29.3,71.7,51.0,14.5,54.7,58.3,95.75,52.5,19
2,Orlando Magic,94,Memphis Grizzlies,95,16,8,8,778.0,109.6,111.9,-2.3,57.4,1.98,17.7,24.6,71.2,47.7,12.1,52.6,55.2,95.72,48.8,17,11,6,831.0,105.9,102.4,3.6,57.9,1.76,16.2,30.1,71.7,50.6,12.7,47.7,52.0,92.71,52.6,-1
3,Miami Heat,111,Utah Jazz,110,16,4,12,778.0,104.3,109.6,-5.3,56.3,1.64,16.8,28.4,72.8,50.4,14.1,50.4,52.6,95.11,47.5,15,10,5,720.0,108.8,105.0,3.9,56.8,1.31,16.6,26.8,70.9,50.6,17.0,54.9,58.4,91.27,54.6,1
4,Houston Rockets,132,Golden State Warriors,127,17,15,2,831.0,118.0,105.7,12.3,65.1,1.74,19.1,29.9,70.7,51.2,15.4,56.8,60.3,100.51,56.6,16,13,3,778.0,113.9,101.8,12.0,72.3,2.02,21.5,27.9,72.9,51.9,15.1,55.8,59.3,100.63,59.2,5
5,Orlando Magic,105,Philadelphia 76ers,88,16,8,8,778.0,109.6,111.9,-2.3,57.4,1.98,17.7,24.6,71.2,47.7,12.1,52.6,55.2,95.72,48.8,14,4,10,672.0,103.3,107.4,-4.1,60.6,1.41,16.8,28.0,69.9,48.6,16.3,50.1,53.7,97.36,46.9,17
6,Sacramento Kings,92,Boston Celtics,97,15,7,8,720.0,105.6,109.6,-4.0,57.7,1.59,16.4,27.2,71.0,48.4,13.9,49.4,53.7,94.47,47.9,16,10,6,773.0,111.1,107.8,3.3,65.4,2.03,18.9,26.5,69.5,47.9,12.9,51.7,56.0,96.00,51.7,-5
7,Minnesota Timberwolves,114,New York Knicks,118,15,6,9,730.0,110.5,112.5,-2.0,59.2,1.66,17.5,33.1,70.9,51.8,14.9,51.4,55.3,94.16,49.2,15,7,8,730.0,106.9,109.7,-2.7,52.7,1.46,15.2,31.3,72.0,51.6,14.2,48.7,53.2,99.39,48.2,-4
8,Los Angeles Lakers,80,Toronto Raptors,113,16,2,14,768.0,103.7,113.8,-10.1,50.3,1.16,14.3,30.5,69.4,49.2,16.6,48.6,52.7,97.13,42.1,14,10,4,672.0,117.3,105.1,12.2,49.0,1.76,15.5,30.2,66.0,48.3,12.0,53.1,57.3,95.86,55.4,-33
9,Detroit Pistons,121,Atlanta Hawks,85,15,5,10,720.0,102.4,106.0,-3.6,57.3,1.68,16.7,25.9,80.5,51.7,13.5,49.8,52.6,94.83,46.6,14,7,7,677.0,105.2,112.2,-6.9,64.3,1.74,18.3,28.7,69.9,48.7,14.7,49.6,53.3,96.28,47.7,36
10,Cleveland Cavaliers,105,Chicago Bulls,111,16,12,4,773.0,114.7,107.4,7.3,56.8,1.60,16.9,29.3,71.7,51.0,14.5,54.7,58.3,95.75,52.5,17,6,11,816.0,102.6,109.0,-6.4,56.1,1.46,15.7,33.7,72.8,52.6,14.9,46.1,50.9,94.06,46.5,-6
