,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Cleveland Cavaliers,103,Houston Rockets,105,15,11,4,730.0,113.4,104.0,9.4,58.0,1.58,17.3,31.3,73.3,52.6,15.1,54.3,57.8,92.94,53.7,16,10,6,773.0,105.7,103.5,2.2,63.5,1.45,17.6,28.1,68.2,48.7,16.7,51.4,55.3,97.43,51.2,-2
1,Golden State Warriors,106,Boston Celtics,101,18,16,2,864.0,111.4,99.5,11.9,68.0,1.93,20.1,29.0,69.8,50.4,14.8,54.3,57.5,97.00,58.5,18,10,8,869.0,103.2,103.0,0.2,62.2,1.82,17.4,29.3,70.8,49.5,13.4,47.4,51.0,95.17,49.1,5
2,Philadelphia 76ers,74,Indiana Pacers,94,17,5,12,831.0,97.4,100.7,-3.3,59.3,1.37,15.6,29.9,70.3,48.9,15.7,46.2,48.7,96.98,45.6,16,8,8,773.0,105.8,103.5,2.3,58.0,1.65,16.6,25.9,74.1,49.9,13.6,49.8,54.0,94.66,51.6,-20
3,Charlotte Hornets,98,Orlando Magic,83,17,8,9,826.0,101.8,102.8,-0.9,58.5,1.79,16.5,25.8,76.1,50.8,12.4,46.7,51.3,94.87,50.1,14,3,11,672.0,101.9,111.2,-9.2,57.7,1.52,16.8,29.9,69.1,48.9,15.2,48.5,51.7,95.71,45.4,15
4,Portland Trail Blazers,110,Sacramento Kings,99,16,10,6,773.0,108.7,104.8,3.9,53.2,1.51,16.4,28.2,75.4,52.6,14.6,52.4,55.7,94.66,51.5,17,6,11,821.0,106.9,109.9,-3.0,57.8,1.35,16.1,32.0,70.8,51.1,16.4,49.1,54.4,96.23,47.9,11
5,Oklahoma City Thunder,108,Los Angeles Lakers,101,15,10,5,725.0,110.0,108.1,1.9,52.5,1.32,15.4,33.5,74.1,53.7,16.1,50.8,55.3,98.88,50.7,16,4,12,778.0,101.1,104.9,-3.7,58.7,1.58,16.8,29.5,74.4,51.6,14.7,47.8,51.5,94.21,47.3,7
6,New Orleans Pelicans,99,Denver Nuggets,92,15,8,7,730.0,104.6,102.2,2.3,62.5,1.55,18.4,28.6,70.2,50.4,16.4,51.9,54.9,92.19,52.4,16,8,8,778.0,105.8,103.4,2.4,57.0,1.56,16.6,28.8,71.0,49.4,14.6,50.5,53.5,97.36,49.3,7
7,Toronto Raptors,114,Philadelphia 76ers,103,15,7,8,720.0,111.8,112.4,-0.7,57.3,1.91,17.2,27.2,68.8,48.0,12.3,51.4,56.1,92.30,49.0,17,5,12,831.0,97.4,100.7,-3.3,59.3,1.37,15.6,29.9,70.3,48.9,15.7,46.2,48.7,96.98,45.6,11
8,Golden State Warriors,108,Brooklyn Nets,110,18,16,2,864.0,111.4,99.5,11.9,68.0,1.93,20.1,29.0,69.8,50.4,14.8,54.3,57.5,97.00,58.5,16,9,7,788.0,104.6,107.5,-2.9,54.9,1.67,16.4,26.7,68.9,48.1,13.1,49.3,53.3,95.76,48.7,-2
9,Phoenix Suns,98,Miami Heat,115,15,7,8,725.0,97.0,100.4,-3.4,51.9,1.18,14.6,28.5,73.5,50.8,16.4,47.0,50.6,96.60,48.5,16,9,7,773.0,103.9,102.8,1.1,52.0,1.22,15.2,28.9,68.1,49.1,16.6,50.3,54.4,93.64,50.9,-17
10,Los Angeles Clippers,110,Minnesota Timberwolves,105,16,11,5,773.0,108.7,102.4,6.3,63.8,1.85,18.9,26.1,73.7,50.4,14.1,53.9,56.0,96.78,53.3,16,3,13,783.0,102.3,112.1,-9.8,58.7,1.38,16.4,28.3,66.8,47.6,16.0,47.7,53.3,93.98,45.6,5
