,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Indiana Pacers,82,Toronto Raptors,95,15,10,5,725.0,103.4,97.9,5.4,52.5,1.34,15.3,30.3,73.2,52.3,15.4,48.4,52.3,94.81,54.4,17,11,6,816.0,107.4,101.4,6.0,65.7,1.74,18.3,30.4,71.7,51.1,14.8,50.4,54.4,92.53,53.1,-13
1,New Orleans Pelicans,112,Minnesota Timberwolves,124,16,5,11,768.0,103.2,109.8,-6.6,53.4,1.26,15.5,29.3,70.2,49.9,16.4,48.9,53.6,92.22,46.5,15,8,7,720.0,107.9,101.9,6.0,60.1,1.88,17.6,29.1,74.7,51.1,13.0,49.5,53.6,97.30,53.4,-12
2,Philadelphia 76ers,114,Denver Nuggets,102,17,6,11,816.0,98.0,105.6,-7.7,57.7,1.34,15.9,27.6,66.9,46.8,16.1,46.3,50.2,100.83,43.9,15,8,7,720.0,110.8,106.9,3.9,62.0,1.68,18.1,28.7,71.3,50.4,15.0,53.1,56.6,100.27,51.4,12
3,Charlotte Bobcats,85,Los Angeles Clippers,112,16,7,9,773.0,102.5,108.8,-6.2,61.7,1.85,17.9,19.1,73.8,47.3,12.7,50.3,54.6,95.04,48.5,16,12,4,768.0,113.8,105.6,8.2,62.5,1.81,18.4,27.3,68.6,48.9,14.0,54.0,58.3,96.00,54.5,-27
4,Orlando Magic,81,Cleveland Cavaliers,87,17,3,14,836.0,98.5,108.9,-10.3,58.0,1.40,15.9,24.0,71.3,47.6,15.1,47.4,51.9,94.42,43.8,15,6,9,725.0,102.6,108.1,-5.6,59.6,1.63,16.1,33.8,73.1,52.0,14.0,45.7,49.6,91.93,45.3,-6
5,Golden State Warriors,123,Miami Heat,114,15,9,6,720.0,106.9,102.4,4.5,58.1,1.59,17.1,28.2,74.0,50.8,14.7,51.2,54.8,98.20,52.1,14,8,6,687.0,110.6,109.2,1.4,57.7,1.47,17.8,26.2,70.0,48.8,16.3,55.1,59.0,91.28,50.8,9
6,Boston Celtics,82,Chicago Bulls,94,17,2,15,821.0,98.3,107.3,-9.0,60.4,1.42,15.9,33.0,70.2,50.6,15.7,44.0,48.5,94.92,43.4,15,11,4,740.0,102.6,99.4,3.2,67.5,1.76,18.2,32.7,71.3,51.9,14.8,47.4,51.5,90.88,54.1,-12
7,Brooklyn Nets,95,Oklahoma City Thunder,93,13,10,3,634.0,107.1,104.2,2.9,59.7,1.53,17.3,26.9,70.8,49.0,15.4,52.5,56.4,90.32,52.2,17,13,4,816.0,112.5,104.2,8.3,52.7,1.34,16.2,33.5,70.4,52.4,16.6,53.8,57.7,94.41,54.9,2
8,New York Knicks,105,San Antonio Spurs,101,16,10,6,773.0,109.5,106.4,3.1,54.2,1.54,16.3,30.5,74.0,52.2,14.4,51.8,55.4,91.75,51.4,14,8,6,677.0,110.9,104.2,6.8,63.4,1.65,19.6,25.7,71.3,50.4,16.4,56.1,59.3,92.88,55.4,4
9,Memphis Grizzlies,99,Phoenix Suns,91,15,12,3,725.0,107.4,100.4,7.0,56.3,1.76,17.2,32.2,70.1,51.6,13.6,50.3,53.4,90.67,55.7,16,9,7,773.0,110.6,106.4,4.2,50.6,1.55,15.1,31.5,66.9,49.0,13.3,50.3,54.6,96.28,51.1,8
