,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Minnesota Timberwolves,95,Phoenix Suns,104,17,7,10,831.0,107.0,109.4,-2.4,54.6,1.40,15.6,32.0,68.3,50.0,15.3,49.3,53.6,94.01,47.3,17,11,6,816.0,109.6,107.2,2.4,60.4,1.80,17.9,32.8,66.5,50.0,14.1,50.6,54.3,92.12,52.1,-9
1,Los Angeles Clippers,108,Sacramento Kings,100,20,11,9,970.0,107.9,106.1,1.8,55.9,1.66,16.5,33.2,68.7,50.2,13.9,49.6,52.7,88.13,50.6,18,6,12,874.0,108.1,110.0,-1.9,51.1,1.53,15.8,32.6,66.9,49.1,14.2,50.0,53.3,96.80,47.9,8
2,Miami Heat,107,Portland Trail Blazers,93,16,10,6,778.0,105.7,101.7,4.1,56.3,1.46,16.6,30.6,65.2,48.4,15.6,50.1,54.4,89.46,54.5,17,6,11,816.0,104.4,113.0,-8.6,51.1,1.27,14.7,30.4,67.9,48.5,15.6,48.7,53.2,89.65,44.1,14
3,Memphis Grizzlies,102,Toronto Raptors,99,15,8,7,735.0,104.3,103.6,0.6,56.4,1.61,16.4,32.9,69.8,50.5,14.2,47.6,51.8,93.06,50.0,17,6,11,826.0,103.9,107.2,-3.3,61.8,1.44,17.4,30.0,68.6,49.8,16.6,49.5,54.5,91.58,48.7,3
4,Milwaukee Bucks,94,Atlanta Hawks,99,17,10,7,816.0,109.2,104.0,5.2,68.0,2.06,20.1,29.7,67.2,48.4,14.0,51.1,54.7,96.26,54.0,19,11,8,942.0,105.2,103.4,1.8,58.6,1.53,17.2,29.1,68.9,49.1,15.4,50.3,53.8,89.81,51.1,-5
5,New Jersey Nets,94,Boston Celtics,107,18,8,10,864.0,102.0,105.8,-3.8,57.5,1.33,15.7,31.5,69.9,49.9,16.2,47.1,51.7,92.56,46.7,17,12,5,826.0,100.9,99.2,1.7,71.1,1.97,20.4,22.7,66.5,45.5,14.2,49.2,53.4,93.21,53.6,-13
6,Chicago Bulls,112,Cleveland Cavaliers,91,16,13,3,773.0,108.8,100.6,8.2,61.5,1.69,17.7,38.2,69.0,53.9,15.3,49.7,52.9,88.49,54.9,17,4,13,821.0,99.7,110.6,-10.8,56.9,1.32,15.2,31.8,67.8,49.1,15.9,45.9,50.2,92.02,42.4,21
7,Denver Nuggets,117,Houston Rockets,105,16,9,7,778.0,108.4,108.5,-0.2,65.1,1.59,18.5,33.7,73.1,53.6,16.4,50.8,55.2,94.52,50.5,16,7,9,788.0,106.8,107.4,-0.6,57.0,1.47,16.8,31.4,69.6,51.0,15.7,50.6,54.8,91.77,50.2,12
8,Dallas Mavericks,92,New Orleans Hornets,97,17,9,8,821.0,103.1,105.3,-2.3,55.6,1.58,16.3,23.0,72.8,48.1,13.6,50.0,53.9,92.99,49.1,17,5,12,821.0,102.1,105.3,-3.2,62.2,1.47,18.2,31.5,68.4,50.8,17.3,49.7,53.4,88.78,49.1,-5
9,Golden State Warriors,83,Philadelphia 76ers,105,18,6,12,869.0,103.7,106.2,-2.5,59.5,1.69,17.6,21.6,66.4,44.9,13.9,51.2,54.9,93.24,47.1,16,8,8,768.0,102.3,98.2,4.1,57.6,1.87,17.2,29.9,73.7,51.3,12.9,47.5,50.3,90.88,51.9,-22
