,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Dallas Mavericks,95,Atlanta Hawks,100,16,7,9,768.0,104.4,108.6,-4.2,60.5,1.89,17.3,20.8,75.1,46.9,12.2,50.0,54.0,94.13,47.4,16,6,10,768.0,102.7,105.2,-2.5,60.9,1.26,16.3,30.7,71.4,51.2,17.7,49.3,53.6,98.63,48.6,-5
1,Philadelphia 76ers,98,Miami Heat,125,17,6,11,826.0,103.9,108.7,-4.8,63.0,1.49,18.0,27.3,69.8,48.9,16.5,51.1,54.6,99.63,46.9,16,10,6,768.0,112.3,106.1,6.2,51.1,1.60,15.8,30.4,69.6,49.7,13.4,52.5,55.5,95.03,52.6,-27
2,Washington Wizards,105,Toronto Raptors,96,18,11,7,874.0,113.1,112.0,1.1,58.9,1.93,17.8,29.6,73.9,51.1,12.7,52.4,56.5,99.02,50.5,16,10,6,773.0,108.4,104.1,4.3,47.9,1.28,14.2,31.7,74.3,53.5,15.0,50.6,55.0,94.79,51.8,9
3,Cleveland Cavaliers,99,Boston Celtics,103,17,7,10,816.0,111.6,114.8,-3.3,56.8,1.81,17.8,22.8,70.9,47.7,13.2,55.5,57.8,95.15,47.9,16,11,5,768.0,108.5,105.0,3.5,67.3,1.69,18.7,27.8,72.3,50.6,15.3,51.6,56.2,98.72,52.8,-4
4,Denver Nuggets,110,Milwaukee Bucks,98,15,8,7,720.0,116.4,112.2,4.2,63.3,1.95,19.6,27.5,75.9,52.1,14.0,55.3,59.2,98.30,52.8,18,14,4,869.0,110.7,108.3,2.4,61.8,1.86,18.6,25.3,69.8,47.8,13.7,53.2,57.0,92.33,51.3,12
5,Detroit Pistons,86,New Orleans Pelicans,109,17,6,11,821.0,102.9,108.3,-5.4,51.6,1.91,15.5,29.9,79.2,52.7,11.2,46.9,49.5,95.06,46.6,16,10,6,778.0,108.9,101.8,7.1,57.8,1.92,17.6,24.2,74.6,50.2,12.4,52.1,55.3,97.67,54.8,-23
6,Indiana Pacers,99,San Antonio Spurs,100,16,6,10,768.0,106.2,109.1,-3.0,55.3,1.55,16.3,28.0,69.8,48.8,14.2,50.3,54.0,93.84,48.5,17,13,4,826.0,108.1,102.9,5.2,61.7,1.71,18.0,29.2,70.6,50.1,14.7,51.5,55.1,94.08,53.9,-1
7,Minnesota Timberwolves,107,Utah Jazz,80,14,6,8,682.0,111.4,112.0,-0.6,59.4,1.77,17.9,31.3,67.8,49.3,14.0,51.1,55.9,93.99,50.4,16,10,6,773.0,108.0,106.4,1.6,55.2,1.51,16.3,28.9,75.2,52.3,14.7,52.0,55.1,92.27,51.8,27
8,Houston Rockets,122,Los Angeles Clippers,103,15,9,6,720.0,114.4,109.7,4.7,59.7,1.63,17.2,28.5,73.5,50.9,14.4,53.6,58.1,101.57,51.1,18,10,8,864.0,113.8,109.8,4.0,55.6,1.69,17.3,24.3,74.6,50.4,13.6,55.6,59.2,95.97,52.1,19
9,Brooklyn Nets,109,Sacramento Kings,100,17,7,10,816.0,106.6,107.2,-0.6,55.3,1.36,15.6,25.1,72.6,49.3,15.2,51.1,55.9,100.38,49.0,16,4,12,778.0,104.0,114.2,-10.2,54.6,1.44,16.4,23.0,69.6,46.9,15.0,51.5,54.9,95.26,44.0,9
10,Golden State Warriors,87,Chicago Bulls,94,16,12,4,768.0,110.1,102.1,8.1,69.8,1.92,20.6,28.3,68.2,49.3,15.3,54.3,57.1,97.03,55.8,15,6,9,725.0,104.2,106.5,-2.3,65.1,1.75,18.6,28.9,69.6,49.4,15.0,50.0,53.0,95.54,49.8,-7
11,Charlotte Hornets,103,Phoenix Suns,120,16,9,7,773.0,114.3,111.5,2.8,60.4,2.66,18.4,24.9,74.7,48.7,9.5,51.9,56.1,93.52,51.3,16,4,12,768.0,103.4,109.0,-5.6,52.6,1.43,15.3,26.9,71.8,49.1,14.4,48.4,52.6,103.84,46.9,-17
12,Oklahoma City Thunder,109,Portland Trail Blazers,114,15,8,7,725.0,110.3,107.5,2.8,52.4,1.42,15.6,33.4,76.6,54.2,15.1,51.1,55.1,98.52,50.4,16,13,3,778.0,113.2,106.6,6.6,49.4,1.45,15.5,27.8,74.4,52.3,14.2,54.8,58.4,97.02,54.4,-5
13,Cleveland Cavaliers,135,Atlanta Hawks,130,17,7,10,816.0,111.6,114.8,-3.3,56.8,1.81,17.8,22.8,70.9,47.7,13.2,55.5,57.8,95.15,47.9,16,6,10,768.0,102.7,105.2,-2.5,60.9,1.26,16.3,30.7,71.4,51.2,17.7,49.3,53.6,98.63,48.6,5
14,Miami Heat,99,Orlando Magic,110,16,10,6,768.0,112.3,106.1,6.2,51.1,1.60,15.8,30.4,69.6,49.7,13.4,52.5,55.5,95.03,52.6,16,5,11,778.0,106.0,111.5,-5.5,55.7,1.77,16.3,28.4,73.7,50.1,12.6,48.2,52.2,97.85,45.4,-11
15,New York Knicks,102,Philadelphia 76ers,105,16,5,11,768.0,105.4,109.4,-4.1,57.7,1.70,16.9,25.8,68.8,47.7,13.5,48.6,53.2,95.75,49.2,17,6,11,826.0,103.9,108.7,-4.8,63.0,1.49,18.0,27.3,69.8,48.9,16.5,51.1,54.6,99.63,46.9,-3
16,Toronto Raptors,114,Washington Wizards,106,16,10,6,773.0,108.4,104.1,4.3,47.9,1.28,14.2,31.7,74.3,53.5,15.0,50.6,55.0,94.79,51.8,18,11,7,874.0,113.1,112.0,1.1,58.9,1.93,17.8,29.6,73.9,51.1,12.7,52.4,56.5,99.02,50.5,8
17,Los Angeles Clippers,101,Milwaukee Bucks,112,18,10,8,864.0,113.8,109.8,4.0,55.6,1.69,17.3,24.3,74.6,50.4,13.6,55.6,59.2,95.97,52.1,18,14,4,869.0,110.7,108.3,2.4,61.8,1.86,18.6,25.3,69.8,47.8,13.7,53.2,57.0,92.33,51.3,-11
18,Memphis Grizzlies,100,Dallas Mavericks,104,15,6,9,720.0,108.1,110.3,-2.3,61.3,1.86,17.4,30.2,75.2,51.4,13.1,49.0,53.1,91.73,48.0,16,7,9,768.0,104.4,108.6,-4.2,60.5,1.89,17.3,20.8,75.1,46.9,12.2,50.0,54.0,94.13,47.4,-4
19,Oklahoma City Thunder,111,Phoenix Suns,118,15,8,7,725.0,110.3,107.5,2.8,52.4,1.42,15.6,33.4,76.6,54.2,15.1,51.1,55.1,98.52,50.4,16,4,12,768.0,103.4,109.0,-5.6,52.6,1.43,15.3,26.9,71.8,49.1,14.4,48.4,52.6,103.84,46.9,-7
20,Brooklyn Nets,97,Utah Jazz,112,17,7,10,816.0,106.6,107.2,-0.6,55.3,1.36,15.6,25.1,72.6,49.3,15.2,51.1,55.9,100.38,49.0,16,10,6,773.0,108.0,106.4,1.6,55.2,1.51,16.3,28.9,75.2,52.3,14.7,52.0,55.1,92.27,51.8,-15
21,San Antonio Spurs,101,New Orleans Pelicans,98,17,13,4,826.0,108.1,102.9,5.2,61.7,1.71,18.0,29.2,70.6,50.1,14.7,51.5,55.1,94.08,53.9,16,10,6,778.0,108.9,101.8,7.1,57.8,1.92,17.6,24.2,74.6,50.2,12.4,52.1,55.3,97.67,54.8,3
22,Boston Celtics,115,Los Angeles Lakers,95,16,11,5,768.0,108.5,105.0,3.5,67.3,1.69,18.7,27.8,72.3,50.6,15.3,51.6,56.2,98.72,52.8,14,2,12,677.0,106.0,117.3,-11.2,52.2,1.45,16.1,26.6,69.9,47.7,14.8,51.5,54.6,100.15,43.7,20
23,Detroit Pistons,136,Philadelphia 76ers,106,17,6,11,821.0,102.9,108.3,-5.4,51.6,1.91,15.5,29.9,79.2,52.7,11.2,46.9,49.5,95.06,46.6,17,6,11,826.0,103.9,108.7,-4.8,63.0,1.49,18.0,27.3,69.8,48.9,16.5,51.1,54.6,99.63,46.9,30
24,Cleveland Cavaliers,92,Miami Heat,120,17,7,10,816.0,111.6,114.8,-3.3,56.8,1.81,17.8,22.8,70.9,47.7,13.2,55.5,57.8,95.15,47.9,16,10,6,768.0,112.3,106.1,6.2,51.1,1.60,15.8,30.4,69.6,49.7,13.4,52.5,55.5,95.03,52.6,-28
25,Toronto Raptors,94,Milwaukee Bucks,101,16,10,6,773.0,108.4,104.1,4.3,47.9,1.28,14.2,31.7,74.3,53.5,15.0,50.6,55.0,94.79,51.8,18,14,4,869.0,110.7,108.3,2.4,61.8,1.86,18.6,25.3,69.8,47.8,13.7,53.2,57.0,92.33,51.3,-7
26,Los Angeles Clippers,101,Chicago Bulls,91,18,10,8,864.0,113.8,109.8,4.0,55.6,1.69,17.3,24.3,74.6,50.4,13.6,55.6,59.2,95.97,52.1,15,6,9,725.0,104.2,106.5,-2.3,65.1,1.75,18.6,28.9,69.6,49.4,15.0,50.0,53.0,95.54,49.8,10
27,Charlotte Hornets,112,Denver Nuggets,102,16,9,7,773.0,114.3,111.5,2.8,60.4,2.66,18.4,24.9,74.7,48.7,9.5,51.9,56.1,93.52,51.3,15,8,7,720.0,116.4,112.2,4.2,63.3,1.95,19.6,27.5,75.9,52.1,14.0,55.3,59.2,98.30,52.8,10
28,Memphis Grizzlies,108,Houston Rockets,123,15,6,9,720.0,108.1,110.3,-2.3,61.3,1.86,17.4,30.2,75.2,51.4,13.1,49.0,53.1,91.73,48.0,15,9,6,720.0,114.4,109.7,4.7,59.7,1.63,17.2,28.5,73.5,50.9,14.4,53.6,58.1,101.57,51.1,-15
29,Minnesota Timberwolves,90,San Antonio Spurs,97,14,6,8,682.0,111.4,112.0,-0.6,59.4,1.77,17.9,31.3,67.8,49.3,14.0,51.1,55.9,93.99,50.4,17,13,4,826.0,108.1,102.9,5.2,61.7,1.71,18.0,29.2,70.6,50.1,14.7,51.5,55.1,94.08,53.9,-7
30,Brooklyn Nets,116,Portland Trail Blazers,130,17,7,10,816.0,106.6,107.2,-0.6,55.3,1.36,15.6,25.1,72.6,49.3,15.2,51.1,55.9,100.38,49.0,16,13,3,778.0,113.2,106.6,6.6,49.4,1.45,15.5,27.8,74.4,52.3,14.2,54.8,58.4,97.02,54.4,-14
31,Indiana Pacers,97,Atlanta Hawks,96,16,6,10,768.0,106.2,109.1,-3.0,55.3,1.55,16.3,28.0,69.8,48.8,14.2,50.3,54.0,93.84,48.5,16,6,10,768.0,102.7,105.2,-2.5,60.9,1.26,16.3,30.7,71.4,51.2,17.7,49.3,53.6,98.63,48.6,1
32,Golden State Warriors,112,New York Knicks,105,16,12,4,768.0,110.1,102.1,8.1,69.8,1.92,20.6,28.3,68.2,49.3,15.3,54.3,57.1,97.03,55.8,16,5,11,768.0,105.4,109.4,-4.1,57.7,1.70,16.9,25.8,68.8,47.7,13.5,48.6,53.2,95.75,49.2,7
33,Boston Celtics,106,Phoenix Suns,109,16,11,5,768.0,108.5,105.0,3.5,67.3,1.69,18.7,27.8,72.3,50.6,15.3,51.6,56.2,98.72,52.8,16,4,12,768.0,103.4,109.0,-5.6,52.6,1.43,15.3,26.9,71.8,49.1,14.4,48.4,52.6,103.84,46.9,-3
34,Orlando Magic,114,Washington Wizards,115,16,5,11,778.0,106.0,111.5,-5.5,55.7,1.77,16.3,28.4,73.7,50.1,12.6,48.2,52.2,97.85,45.4,18,11,7,874.0,113.1,112.0,1.1,58.9,1.93,17.8,29.6,73.9,51.1,12.7,52.4,56.5,99.02,50.5,-1
35,Utah Jazz,110,Sacramento Kings,109,16,10,6,773.0,108.0,106.4,1.6,55.2,1.51,16.3,28.9,75.2,52.3,14.7,52.0,55.1,92.27,51.8,16,4,12,778.0,104.0,114.2,-10.2,54.6,1.44,16.4,23.0,69.6,46.9,15.0,51.5,54.9,95.26,44.0,1
36,Oklahoma City Thunder,89,Dallas Mavericks,104,15,8,7,725.0,110.3,107.5,2.8,52.4,1.42,15.6,33.4,76.6,54.2,15.1,51.1,55.1,98.52,50.4,16,7,9,768.0,104.4,108.6,-4.2,60.5,1.89,17.3,20.8,75.1,46.9,12.2,50.0,54.0,94.13,47.4,-15
37,New Orleans Pelicans,105,Los Angeles Lakers,97,16,10,6,778.0,108.9,101.8,7.1,57.8,1.92,17.6,24.2,74.6,50.2,12.4,52.1,55.3,97.67,54.8,14,2,12,677.0,106.0,117.3,-11.2,52.2,1.45,16.1,26.6,69.9,47.7,14.8,51.5,54.6,100.15,43.7,8
