,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,San Antonio Spurs,95,Boston Celtics,87,16,13,3,768.0,103.2,94.3,8.9,64.4,1.73,19.0,25.6,76.3,52.2,15.1,50.9,54.2,95.00,57.3,16,9,7,768.0,102.9,98.0,4.8,62.4,1.50,17.3,31.7,69.7,50.0,16.2,48.4,52.0,98.56,52.8,8
1,Houston Rockets,89,Miami Heat,109,16,7,9,783.0,103.8,108.3,-4.5,56.8,1.22,15.2,29.7,69.5,49.1,16.9,49.0,53.6,97.72,46.0,14,9,5,672.0,102.0,97.0,5.0,52.6,1.32,15.0,26.9,71.2,50.1,15.2,48.4,52.5,94.36,54.7,-20
2,Milwaukee Bucks,87,Toronto Raptors,106,16,7,9,778.0,102.1,108.4,-6.3,64.2,1.52,18.0,26.7,65.8,46.5,16.3,49.8,53.8,92.27,47.1,16,9,7,768.0,105.2,102.3,3.0,50.4,1.22,14.1,31.5,72.3,51.8,15.4,48.3,53.6,93.88,51.9,-19
3,Orlando Magic,87,Chicago Bulls,92,15,9,6,730.0,104.0,101.4,2.6,59.3,1.56,17.0,29.9,72.3,50.9,15.1,48.7,52.1,95.44,50.0,12,8,4,581.0,99.6,99.5,0.1,63.7,1.78,17.3,26.3,72.2,49.6,13.4,46.2,50.1,97.86,50.3,-5
4,Denver Nuggets,93,Oklahoma City Thunder,117,16,5,11,768.0,100.9,109.0,-8.1,59.4,1.35,16.2,30.6,71.9,50.5,16.5,47.4,51.7,96.16,45.2,16,9,7,768.0,108.8,102.5,6.2,54.8,1.33,16.2,32.9,70.6,52.5,16.7,51.8,55.7,98.22,54.2,-24
5,Dallas Mavericks,103,Los Angeles Lakers,93,16,9,7,768.0,102.1,102.0,0.1,58.8,1.51,16.5,23.1,72.1,48.3,14.5,49.4,54.0,97.94,51.8,14,2,12,672.0,98.2,107.2,-9.1,54.4,1.31,14.5,25.8,71.0,48.4,14.6,45.6,50.4,96.68,43.9,10
6,Cleveland Cavaliers,107,Philadelphia 76ers,100,14,11,3,682.0,108.7,103.5,5.2,62.0,1.59,17.9,29.4,75.0,52.8,15.5,52.8,56.0,93.68,53.3,16,0,16,768.0,93.7,104.4,-10.7,56.3,1.04,15.0,25.6,70.8,47.9,19.1,47.2,50.4,98.03,41.9,7
7,Milwaukee Bucks,103,Brooklyn Nets,96,16,7,9,778.0,102.1,108.4,-6.3,64.2,1.52,18.0,26.7,65.8,46.5,16.3,49.8,53.8,92.27,47.1,14,4,10,677.0,99.1,103.3,-4.3,54.5,1.34,15.7,29.7,72.5,50.9,15.9,47.1,50.8,97.67,47.3,7
8,San Antonio Spurs,94,New York Knicks,84,16,13,3,768.0,103.2,94.3,8.9,64.4,1.73,19.0,25.6,76.3,52.2,15.1,50.9,54.2,95.00,57.3,15,6,9,725.0,100.9,104.6,-3.7,54.1,1.38,14.8,31.5,69.0,50.4,14.7,45.7,50.2,92.26,47.6,10
9,Oklahoma City Thunder,105,Houston Rockets,110,16,9,7,768.0,108.8,102.5,6.2,54.8,1.33,16.2,32.9,70.6,52.5,16.7,51.8,55.7,98.22,54.2,16,7,9,783.0,103.8,108.3,-4.5,56.8,1.22,15.2,29.7,69.5,49.1,16.9,49.0,53.6,97.72,46.0,-5
