,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Chicago Bulls,95,Miami Heat,107,2,1,1,96.0,94.7,98.9,-4.3,65.2,1.13,16.6,30.9,70.5,50.5,20.3,44.7,49.9,94.25,46.6,2,1,1,96.0,108.5,104.5,4.0,70.9,1.44,20.6,21.7,71.6,47.4,19.5,58.9,61.8,100.00,51.0,-12
1,Los Angeles Clippers,103,Los Angeles Lakers,116,2,1,1,96.0,111.7,112.1,-0.4,65.1,1.54,18.6,35.1,62.2,48.7,17.1,54.5,57.2,102.75,53.6,2,1,1,96.0,103.4,112.3,-8.9,54.5,1.17,14.9,32.7,75.3,51.5,17.7,48.4,51.6,101.50,39.6,-13
2,Brooklyn Nets,94,Cleveland Cavaliers,98,1,0,1,48.0,101.1,105.4,-4.3,72.7,1.60,18.3,30.8,57.4,44.3,16.1,45.7,50.8,93.00,47.5,1,1,0,48.0,105.4,101.1,4.3,60.0,1.50,15.6,42.6,69.2,55.7,15.1,44.6,49.5,93.00,52.5,-4
3,Boston Celtics,87,Toronto Raptors,93,1,0,1,48.0,94.6,101.1,-6.5,46.9,0.68,12.9,24.4,54.7,41.5,23.9,50.8,55.2,92.00,48.4,1,1,0,48.0,101.1,94.6,6.5,39.5,0.83,11.5,45.3,75.6,58.5,19.6,47.1,48.4,92.00,51.6,-6
4,Miami Heat,110,Philadelphia 76ers,114,2,1,1,96.0,108.5,104.5,4.0,70.9,1.44,20.6,21.7,71.6,47.4,19.5,58.9,61.8,100.00,51.0,1,1,0,48.0,111.8,108.9,2.9,55.8,1.33,17.6,27.0,79.5,55.6,17.6,58.8,62.9,101.50,56.7,-4
5,Washington Wizards,102,Detroit Pistons,113,1,0,1,48.0,104.1,115.3,-11.2,67.6,1.35,17.2,29.2,63.4,44.9,17.3,50.0,55.4,98.00,41.3,1,1,0,48.0,115.3,104.1,11.2,61.5,1.26,17.5,36.6,70.8,55.1,19.4,55.8,61.1,98.00,58.7,-11
6,Milwaukee Bucks,83,New York Knicks,90,1,0,1,48.0,88.3,95.7,-7.4,55.9,0.79,15.4,26.8,77.1,50.0,25.5,49.3,52.3,94.00,41.1,2,1,1,96.0,92.4,90.2,2.3,55.2,1.00,15.0,29.7,70.1,49.4,20.0,46.5,50.1,92.00,52.0,-7
7,Indiana Pacers,95,New Orleans Pelicans,90,2,2,0,96.0,103.2,95.2,8.1,56.3,0.92,14.6,29.8,61.6,48.0,21.0,51.4,57.0,93.00,62.8,1,0,1,48.0,97.8,103.3,-5.4,50.0,1.13,13.3,38.5,72.1,53.7,16.3,42.9,47.8,92.00,40.5,5
8,Orlando Magic,115,Minnesota Timberwolves,120,2,0,2,101.0,97.6,105.3,-7.8,45.8,1.03,13.4,35.3,68.3,50.7,17.9,47.9,49.2,98.14,41.2,1,1,0,53.0,107.1,101.8,5.4,64.3,1.80,17.1,31.7,67.9,49.1,13.4,46.0,52.2,101.89,53.6,-5
9,Charlotte Bobcats,83,Houston Rockets,96,1,0,1,48.0,90.2,105.5,-15.3,42.4,1.75,11.6,28.8,63.0,43.8,8.7,38.9,42.0,91.50,35.7,1,1,0,48.0,105.5,90.2,15.3,47.2,0.89,13.7,37.0,71.2,56.2,20.9,53.3,55.5,91.50,64.3,-13
