,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Detroit Pistons,105,Brooklyn Nets,100,12,6,6,576.0,106.0,105.3,0.7,51.3,1.45,15.2,27.4,77.0,50.8,14.0,51.2,53.7,95.25,47.4,12,5,7,576.0,106.3,109.3,-3.0,61.6,1.48,18.0,26.7,70.9,49.6,16.5,52.7,56.8,97.21,50.1,5
1,Dallas Mavericks,97,Atlanta Hawks,112,10,4,6,500.0,110.5,111.1,-0.6,61.0,2.23,17.4,22.6,70.9,46.9,10.4,51.1,56.3,95.04,50.9,11,6,5,543.0,104.2,97.3,6.9,67.7,1.73,19.6,24.7,72.4,49.5,15.8,52.5,55.1,98.12,54.3,-15
2,Memphis Grizzlies,110,New Orleans Pelicans,95,11,7,4,538.0,112.3,107.5,4.8,54.5,1.85,17.1,24.5,71.1,49.0,12.3,53.5,57.7,92.88,54.2,12,5,7,576.0,105.6,110.9,-5.2,52.9,1.77,15.8,26.3,75.0,48.9,12.0,49.2,53.0,97.54,46.4,15
3,Washington Wizards,98,Oklahoma City Thunder,114,14,8,6,672.0,105.1,103.0,2.1,59.4,1.91,17.7,22.4,74.5,48.2,12.5,50.7,53.8,100.11,50.9,11,6,5,533.0,114.5,110.3,4.2,58.7,1.56,17.9,34.8,73.9,54.7,16.1,53.9,57.7,98.70,52.3,-16
4,Orlando Magic,92,San Antonio Spurs,107,12,5,7,586.0,105.2,107.5,-2.4,61.7,1.79,18.0,28.0,76.0,50.6,13.9,49.5,53.4,99.89,48.5,12,11,1,576.0,111.4,101.7,9.7,59.1,1.87,18.5,25.7,71.9,50.1,13.5,54.2,58.0,96.08,56.9,-15
5,Toronto Raptors,93,Denver Nuggets,112,11,7,4,528.0,114.0,111.7,2.4,51.0,1.77,15.6,27.6,72.2,49.5,11.8,52.5,56.9,92.32,50.4,12,5,7,581.0,104.0,104.3,-0.3,57.4,1.46,16.5,27.8,76.6,52.0,15.2,49.6,53.7,98.11,49.9,-19
6,Chicago Bulls,96,Utah Jazz,105,12,4,8,581.0,104.2,109.4,-5.2,60.8,1.85,17.9,26.6,71.1,48.9,13.3,49.2,52.5,97.49,46.5,13,7,6,639.0,103.6,103.7,-0.1,50.1,1.19,14.4,30.1,73.0,51.9,16.1,49.2,53.5,93.15,50.1,-9
7,Milwaukee Bucks,104,Sacramento Kings,111,11,5,6,538.0,103.2,104.3,-1.1,58.9,1.41,17.4,27.9,70.4,50.0,16.9,51.5,54.4,98.28,51.0,11,4,7,528.0,107.5,113.0,-5.5,60.9,1.66,18.0,27.7,72.2,49.4,14.9,51.5,55.2,102.41,48.4,-7
8,Boston Celtics,97,New York Knicks,89,12,9,3,581.0,109.1,105.2,3.9,64.4,2.04,18.9,27.4,71.2,49.3,13.0,50.4,54.8,100.59,53.3,11,2,9,528.0,103.3,109.2,-5.9,50.4,1.37,14.6,26.1,76.7,51.3,14.1,48.3,53.0,94.59,45.3,8
9,Miami Heat,102,Houston Rockets,115,11,6,5,533.0,103.3,103.6,-0.3,53.0,1.53,15.6,31.2,78.1,54.8,14.0,47.4,51.3,97.17,51.6,10,4,6,485.0,106.8,108.5,-1.7,60.6,1.36,16.4,29.1,67.4,47.5,16.4,51.8,55.4,100.11,48.3,-13
10,Toronto Raptors,104,Phoenix Suns,97,11,7,4,528.0,114.0,111.7,2.4,51.0,1.77,15.6,27.6,72.2,49.5,11.8,52.5,56.9,92.32,50.4,10,1,9,480.0,101.5,112.4,-10.9,58.6,1.18,15.4,31.5,72.1,50.9,17.9,47.5,52.4,100.05,42.1,7
11,Milwaukee Bucks,95,Portland Trail Blazers,107,11,5,6,538.0,103.2,104.3,-1.1,58.9,1.41,17.4,27.9,70.4,50.0,16.9,51.5,54.4,98.28,51.0,11,9,2,533.0,111.1,103.2,7.9,54.7,1.49,16.4,28.9,71.8,50.7,14.9,53.3,56.9,98.57,53.2,-12
12,Minnesota Timberwolves,115,Los Angeles Lakers,119,11,5,6,528.0,112.7,116.7,-3.9,64.9,1.85,18.5,30.9,71.0,51.2,14.1,51.0,57.0,96.50,50.2,10,2,8,480.0,111.1,116.3,-5.2,45.9,1.44,13.2,28.7,72.9,49.4,12.0,49.0,54.2,95.85,43.1,-4
13,Cleveland Cavaliers,97,Charlotte Hornets,106,13,8,5,629.0,110.9,105.6,5.3,55.7,1.73,16.9,29.4,72.8,51.2,13.4,52.3,55.6,94.28,52.3,10,7,3,480.0,105.9,101.7,4.2,57.8,1.55,16.9,22.8,76.5,50.4,14.5,51.9,55.7,95.55,51.3,-9
14,Atlanta Hawks,124,Philadelphia 76ers,86,11,6,5,543.0,104.2,97.3,6.9,67.7,1.73,19.6,24.7,72.4,49.5,15.8,52.5,55.1,98.12,54.3,12,1,11,581.0,101.2,113.6,-12.3,57.6,1.25,16.5,23.6,67.5,45.5,17.4,51.5,54.9,100.01,42.4,38
15,Detroit Pistons,95,Boston Celtics,102,12,6,6,576.0,106.0,105.3,0.7,51.3,1.45,15.2,27.4,77.0,50.8,14.0,51.2,53.7,95.25,47.4,12,9,3,581.0,109.1,105.2,3.9,64.4,2.04,18.9,27.4,71.2,49.3,13.0,50.4,54.8,100.59,53.3,-7
16,Indiana Pacers,114,Brooklyn Nets,100,13,6,7,634.0,102.9,104.5,-1.6,54.4,1.50,16.1,27.7,71.3,49.7,14.5,48.8,52.3,96.57,50.3,12,5,7,576.0,106.3,109.3,-3.0,61.6,1.48,18.0,26.7,70.9,49.6,16.5,52.7,56.8,97.21,50.1,14
17,Orlando Magic,114,Oklahoma City Thunder,117,12,5,7,586.0,105.2,107.5,-2.4,61.7,1.79,18.0,28.0,76.0,50.6,13.9,49.5,53.4,99.89,48.5,11,6,5,533.0,114.5,110.3,4.2,58.7,1.56,17.9,34.8,73.9,54.7,16.1,53.9,57.7,98.70,52.3,-3
18,Golden State Warriors,134,Washington Wizards,121,10,9,1,485.0,111.9,106.5,5.4,64.6,1.94,19.4,23.1,72.2,48.1,13.8,55.0,58.1,104.41,52.5,14,8,6,672.0,105.1,103.0,2.1,59.4,1.91,17.7,22.4,74.5,48.2,12.5,50.7,53.8,100.11,50.9,13
19,Miami Heat,93,Dallas Mavericks,90,11,6,5,533.0,103.3,103.6,-0.3,53.0,1.53,15.6,31.2,78.1,54.8,14.0,47.4,51.3,97.17,51.6,10,4,6,500.0,110.5,111.1,-0.6,61.0,2.23,17.4,22.6,70.9,46.9,10.4,51.1,56.3,95.04,50.9,3
20,New Orleans Pelicans,97,San Antonio Spurs,110,12,5,7,576.0,105.6,110.9,-5.2,52.9,1.77,15.8,26.3,75.0,48.9,12.0,49.2,53.0,97.54,46.4,12,11,1,576.0,111.4,101.7,9.7,59.1,1.87,18.5,25.7,71.9,50.1,13.5,54.2,58.0,96.08,56.9,-13
21,Denver Nuggets,81,Utah Jazz,85,12,5,7,581.0,104.0,104.3,-0.3,57.4,1.46,16.5,27.8,76.6,52.0,15.2,49.6,53.7,98.11,49.9,13,7,6,639.0,103.6,103.7,-0.1,50.1,1.19,14.4,30.1,73.0,51.9,16.1,49.2,53.5,93.15,50.1,-4
22,Chicago Bulls,107,Sacramento Kings,102,12,4,8,581.0,104.2,109.4,-5.2,60.8,1.85,17.9,26.6,71.1,48.9,13.3,49.2,52.5,97.49,46.5,11,4,7,528.0,107.5,113.0,-5.5,60.9,1.66,18.0,27.7,72.2,49.4,14.9,51.5,55.2,102.41,48.4,5
23,Minnesota Timberwolves,108,Los Angeles Clippers,102,11,5,6,528.0,112.7,116.7,-3.9,64.9,1.85,18.5,30.9,71.0,51.2,14.1,51.0,57.0,96.50,50.2,11,7,4,538.0,108.6,101.2,7.4,54.4,1.49,16.1,25.5,72.3,49.5,14.3,52.8,56.4,97.12,54.4,6
24,New York Knicks,105,Detroit Pistons,111,11,2,9,528.0,103.3,109.2,-5.9,50.4,1.37,14.6,26.1,76.7,51.3,14.1,48.3,53.0,94.59,45.3,12,6,6,576.0,106.0,105.3,0.7,51.3,1.45,15.2,27.4,77.0,50.8,14.0,51.2,53.7,95.25,47.4,-6
25,Houston Rockets,111,Phoenix Suns,105,10,4,6,485.0,106.8,108.5,-1.7,60.6,1.36,16.4,29.1,67.4,47.5,16.4,51.8,55.4,100.11,48.3,10,1,9,480.0,101.5,112.4,-10.9,58.6,1.18,15.4,31.5,72.1,50.9,17.9,47.5,52.4,100.05,42.1,6
