,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Golden State Warriors,102,Detroit Pistons,111,15,10,5,725.0,110.6,106.7,3.9,67.4,1.97,19.5,23.7,75.1,49.9,13.7,53.7,57.6,103.15,53.2,15,4,11,725.0,102.4,108.6,-6.2,60.0,1.39,16.4,29.6,74.8,51.0,16.3,48.7,51.9,99.94,44.3,-9
1,Brooklyn Nets,88,Washington Wizards,102,15,9,6,735.0,110.1,110.4,-0.3,62.2,1.62,17.8,27.0,75.7,51.5,15.1,53.4,57.3,99.17,50.1,15,6,9,740.0,109.6,112.1,-2.5,63.4,1.92,19.1,23.0,69.4,46.1,13.6,54.0,57.2,100.61,49.0,-14
2,Toronto Raptors,106,Cleveland Cavaliers,95,15,8,7,725.0,106.7,106.0,0.7,54.7,1.73,16.1,27.1,72.9,49.4,12.6,49.7,53.6,98.12,49.3,16,4,12,768.0,105.3,116.9,-11.5,53.2,1.66,15.7,28.0,71.2,49.2,12.8,49.4,52.8,95.66,44.4,11
3,Chicago Bulls,105,Houston Rockets,121,14,5,9,672.0,98.7,107.1,-8.4,54.1,1.26,15.7,23.2,70.6,47.3,16.4,49.4,52.7,96.93,45.3,15,11,4,720.0,113.4,109.1,4.3,55.5,1.46,15.8,27.9,71.5,49.7,14.7,53.8,57.9,97.23,49.5,-16
4,Boston Celtics,118,Minnesota Timberwolves,109,14,9,5,682.0,115.5,107.7,7.7,62.3,2.08,18.7,27.7,71.9,49.8,12.6,54.6,58.3,99.98,54.8,15,6,9,730.0,111.6,111.7,0.0,62.9,2.12,18.3,29.0,71.1,49.7,12.2,51.2,55.4,100.47,51.7,9
5,Indiana Pacers,110,Sacramento Kings,111,15,12,3,720.0,109.7,99.6,10.1,65.3,1.78,19.6,28.0,71.4,51.2,15.5,53.9,57.2,99.87,57.9,15,9,6,720.0,111.3,110.8,0.5,60.6,2.02,18.3,25.9,69.8,47.1,12.5,53.5,56.2,104.50,49.3,-1
6,Phoenix Suns,96,Los Angeles Lakers,120,16,5,11,793.0,104.9,112.4,-7.5,59.5,1.58,17.4,27.9,69.9,48.3,15.1,50.8,54.3,99.93,46.2,15,8,7,720.0,110.0,106.7,3.2,59.0,1.71,18.0,25.3,75.1,51.1,14.4,55.1,57.4,104.17,52.3,-24
7,New Orleans Pelicans,119,Charlotte Hornets,109,15,6,9,720.0,112.2,112.1,0.2,64.1,2.00,19.4,27.9,72.1,50.2,13.6,53.4,56.8,101.27,50.7,14,7,7,687.0,110.4,110.3,0.1,58.7,1.94,17.2,26.3,73.4,49.4,12.2,51.1,55.2,99.46,48.8,10
8,Utah Jazz,100,Miami Heat,102,14,7,7,672.0,109.3,100.6,8.7,65.8,1.67,19.1,27.8,76.8,53.1,16.0,54.3,57.1,100.71,56.1,14,9,5,672.0,107.9,104.1,3.9,63.1,1.80,17.8,31.2,73.6,52.0,14.1,50.6,53.3,96.29,51.9,-2
9,Memphis Grizzlies,95,Philadelphia 76ers,103,15,5,10,720.0,102.7,105.9,-3.2,60.3,1.59,17.4,20.7,70.7,46.0,14.6,50.7,54.4,95.17,48.7,13,7,6,629.0,110.6,108.4,2.2,64.0,1.85,19.0,25.3,74.5,50.2,14.2,53.4,56.9,101.49,51.6,-8
10,Los Angeles Clippers,110,Dallas Mavericks,114,15,6,9,725.0,109.9,114.4,-4.4,56.7,1.43,16.6,25.8,72.9,50.2,15.6,53.1,58.1,102.59,47.7,16,7,9,773.0,107.9,110.2,-2.2,59.1,1.43,16.2,28.8,73.4,51.4,15.5,51.4,55.8,101.62,49.8,-4
11,Portland Trail Blazers,118,San Antonio Spurs,131,15,8,7,730.0,108.1,109.3,-1.1,54.3,1.46,16.1,28.9,75.4,52.1,14.9,51.6,55.5,99.45,48.8,16,11,5,768.0,116.7,106.4,10.3,59.1,2.19,19.4,22.9,72.9,49.9,12.1,57.0,60.6,99.00,56.7,-13
12,Oklahoma City Thunder,110,Detroit Pistons,83,15,9,6,720.0,108.1,101.7,6.4,51.4,1.43,15.6,29.9,74.6,51.6,14.9,51.9,54.7,105.10,52.7,15,4,11,725.0,102.4,108.6,-6.2,60.0,1.39,16.4,29.6,74.8,51.0,16.3,48.7,51.9,99.94,44.3,27
13,Golden State Warriors,128,Atlanta Hawks,111,15,10,5,725.0,110.6,106.7,3.9,67.4,1.97,19.5,23.7,75.1,49.9,13.7,53.7,57.6,103.15,53.2,13,6,7,629.0,108.5,112.6,-4.1,66.7,1.49,18.6,33.6,73.2,52.8,17.9,52.6,55.7,103.48,46.6,17
14,Cleveland Cavaliers,99,Brooklyn Nets,97,16,4,12,768.0,105.3,116.9,-11.5,53.2,1.66,15.7,28.0,71.2,49.2,12.8,49.4,52.8,95.66,44.4,15,9,6,735.0,110.1,110.4,-0.3,62.2,1.62,17.8,27.0,75.7,51.5,15.1,53.4,57.3,99.17,50.1,2
15,Washington Wizards,110,New York Knicks,107,15,6,9,740.0,109.6,112.1,-2.5,63.4,1.92,19.1,23.0,69.4,46.1,13.6,54.0,57.2,100.61,49.0,14,2,12,682.0,104.8,116.1,-11.3,54.6,1.59,15.7,25.5,72.3,47.4,13.3,49.4,52.7,101.07,41.9,3
16,Denver Nuggets,106,Toronto Raptors,103,12,8,4,581.0,110.5,109.3,1.1,68.8,1.89,19.7,30.2,72.9,51.5,14.9,52.5,55.8,98.07,50.5,15,8,7,725.0,106.7,106.0,0.7,54.7,1.73,16.1,27.1,72.9,49.4,12.6,49.7,53.6,98.12,49.3,3
17,Houston Rockets,91,Minnesota Timberwolves,103,15,11,4,720.0,113.4,109.1,4.3,55.5,1.46,15.8,27.9,71.5,49.7,14.7,53.8,57.9,97.23,49.5,15,6,9,730.0,111.6,111.7,0.0,62.9,2.12,18.3,29.0,71.1,49.7,12.2,51.2,55.4,100.47,51.7,-12
18,Los Angeles Clippers,129,New Orleans Pelicans,126,15,6,9,725.0,109.9,114.4,-4.4,56.7,1.43,16.6,25.8,72.9,50.2,15.6,53.1,58.1,102.59,47.7,15,6,9,720.0,112.2,112.1,0.2,64.1,2.00,19.4,27.9,72.1,50.2,13.6,53.4,56.8,101.27,50.7,3
19,Chicago Bulls,90,Indiana Pacers,96,14,5,9,672.0,98.7,107.1,-8.4,54.1,1.26,15.7,23.2,70.6,47.3,16.4,49.4,52.7,96.93,45.3,15,12,3,720.0,109.7,99.6,10.1,65.3,1.78,19.6,28.0,71.4,51.2,15.5,53.9,57.2,99.87,57.9,-6
20,Orlando Magic,105,Miami Heat,90,13,5,8,634.0,101.7,109.0,-7.3,58.2,1.44,16.1,27.0,75.2,50.3,15.2,48.7,52.2,95.92,44.9,14,9,5,672.0,107.9,104.1,3.9,63.1,1.80,17.8,31.2,73.6,52.0,14.1,50.6,53.3,96.29,51.9,15
21,Portland Trail Blazers,102,Dallas Mavericks,111,15,8,7,730.0,108.1,109.3,-1.1,54.3,1.46,16.1,28.9,75.4,52.1,14.9,51.6,55.5,99.45,48.8,16,7,9,773.0,107.9,110.2,-2.2,59.1,1.43,16.2,28.8,73.4,51.4,15.5,51.4,55.8,101.62,49.8,-9
22,Sacramento Kings,122,Phoenix Suns,105,15,9,6,720.0,111.3,110.8,0.5,60.6,2.02,18.3,25.9,69.8,47.1,12.5,53.5,56.2,104.50,49.3,16,5,11,793.0,104.9,112.4,-7.5,59.5,1.58,17.4,27.9,69.9,48.3,15.1,50.8,54.3,99.93,46.2,17
23,San Antonio Spurs,105,Utah Jazz,139,16,11,5,768.0,116.7,106.4,10.3,59.1,2.19,19.4,22.9,72.9,49.9,12.1,57.0,60.6,99.00,56.7,14,7,7,672.0,109.3,100.6,8.7,65.8,1.67,19.1,27.8,76.8,53.1,16.0,54.3,57.1,100.71,56.1,-34
24,Golden State Warriors,129,Cleveland Cavaliers,105,15,10,5,725.0,110.6,106.7,3.9,67.4,1.97,19.5,23.7,75.1,49.9,13.7,53.7,57.6,103.15,53.2,16,4,12,768.0,105.3,116.9,-11.5,53.2,1.66,15.7,28.0,71.2,49.2,12.8,49.4,52.8,95.66,44.4,24
25,Denver Nuggets,124,Orlando Magic,118,12,8,4,581.0,110.5,109.3,1.1,68.8,1.89,19.7,30.2,72.9,51.5,14.9,52.5,55.8,98.07,50.5,13,5,8,634.0,101.7,109.0,-7.3,58.2,1.44,16.1,27.0,75.2,50.3,15.2,48.7,52.2,95.92,44.9,6
26,Washington Wizards,131,Atlanta Hawks,117,15,6,9,740.0,109.6,112.1,-2.5,63.4,1.92,19.1,23.0,69.4,46.1,13.6,54.0,57.2,100.61,49.0,13,6,7,629.0,108.5,112.6,-4.1,66.7,1.49,18.6,33.6,73.2,52.8,17.9,52.6,55.7,103.48,46.6,14
27,Oklahoma City Thunder,114,Brooklyn Nets,112,15,9,6,720.0,108.1,101.7,6.4,51.4,1.43,15.6,29.9,74.6,51.6,14.9,51.9,54.7,105.10,52.7,15,9,6,735.0,110.1,110.4,-0.3,62.2,1.62,17.8,27.0,75.7,51.5,15.1,53.4,57.3,99.17,50.1,2
28,Los Angeles Clippers,86,Memphis Grizzlies,96,15,6,9,725.0,109.9,114.4,-4.4,56.7,1.43,16.6,25.8,72.9,50.2,15.6,53.1,58.1,102.59,47.7,15,5,10,720.0,102.7,105.9,-3.2,60.3,1.59,17.4,20.7,70.7,46.0,14.6,50.7,54.4,95.17,48.7,-10
29,Detroit Pistons,92,Milwaukee Bucks,115,15,4,11,725.0,102.4,108.6,-6.2,60.0,1.39,16.4,29.6,74.8,51.0,16.3,48.7,51.9,99.94,44.3,14,10,4,677.0,108.4,102.1,6.3,60.3,1.71,17.5,24.2,75.7,50.9,13.9,52.2,55.8,101.71,53.8,-23
30,Charlotte Hornets,104,Minnesota Timberwolves,121,14,7,7,687.0,110.4,110.3,0.1,58.7,1.94,17.2,26.3,73.4,49.4,12.2,51.1,55.2,99.46,48.8,15,6,9,730.0,111.6,111.7,0.0,62.9,2.12,18.3,29.0,71.1,49.7,12.2,51.2,55.4,100.47,51.7,-17
31,Dallas Mavericks,106,New Orleans Pelicans,132,16,7,9,773.0,107.9,110.2,-2.2,59.1,1.43,16.2,28.8,73.4,51.4,15.5,51.4,55.8,101.62,49.8,15,6,9,720.0,112.2,112.1,0.2,64.1,2.00,19.4,27.9,72.1,50.2,13.6,53.4,56.8,101.27,50.7,-26
32,Philadelphia 76ers,102,Toronto Raptors,113,13,7,6,629.0,110.6,108.4,2.2,64.0,1.85,19.0,25.3,74.5,50.2,14.2,53.4,56.9,101.49,51.6,15,8,7,725.0,106.7,106.0,0.7,54.7,1.73,16.1,27.1,72.9,49.4,12.6,49.7,53.6,98.12,49.3,-11
33,San Antonio Spurs,113,Los Angeles Lakers,121,16,11,5,768.0,116.7,106.4,10.3,59.1,2.19,19.4,22.9,72.9,49.9,12.1,57.0,60.6,99.00,56.7,15,8,7,720.0,110.0,106.7,3.2,59.0,1.71,18.0,25.3,75.1,51.1,14.4,55.1,57.4,104.17,52.3,-8
34,New York Knicks,100,Boston Celtics,128,14,2,12,682.0,104.8,116.1,-11.3,54.6,1.59,15.7,25.5,72.3,47.4,13.3,49.4,52.7,101.07,41.9,14,9,5,682.0,115.5,107.7,7.7,62.3,2.08,18.7,27.7,71.9,49.8,12.6,54.6,58.3,99.98,54.8,-28
35,Phoenix Suns,86,Portland Trail Blazers,108,16,5,11,793.0,104.9,112.4,-7.5,59.5,1.58,17.4,27.9,69.9,48.3,15.1,50.8,54.3,99.93,46.2,15,8,7,730.0,108.1,109.3,-1.1,54.3,1.46,16.1,28.9,75.4,52.1,14.9,51.6,55.5,99.45,48.8,-22
36,Houston Rockets,91,Utah Jazz,118,15,11,4,720.0,113.4,109.1,4.3,55.5,1.46,15.8,27.9,71.5,49.7,14.7,53.8,57.9,97.23,49.5,14,7,7,672.0,109.3,100.6,8.7,65.8,1.67,19.1,27.8,76.8,53.1,16.0,54.3,57.1,100.71,56.1,-27
37,Denver Nuggets,107,Charlotte Hornets,113,12,8,4,581.0,110.5,109.3,1.1,68.8,1.89,19.7,30.2,72.9,51.5,14.9,52.5,55.8,98.07,50.5,14,7,7,687.0,110.4,110.3,0.1,58.7,1.94,17.2,26.3,73.4,49.4,12.2,51.1,55.2,99.46,48.8,-6
38,Philadelphia 76ers,117,Detroit Pistons,111,13,7,6,629.0,110.6,108.4,2.2,64.0,1.85,19.0,25.3,74.5,50.2,14.2,53.4,56.9,101.49,51.6,15,4,11,725.0,102.4,108.6,-6.2,60.0,1.39,16.4,29.6,74.8,51.0,16.3,48.7,51.9,99.94,44.3,6
39,Indiana Pacers,112,Orlando Magic,90,15,12,3,720.0,109.7,99.6,10.1,65.3,1.78,19.6,28.0,71.4,51.2,15.5,53.9,57.2,99.87,57.9,13,5,8,634.0,101.7,109.0,-7.3,58.2,1.44,16.1,27.0,75.2,50.3,15.2,48.7,52.2,95.92,44.9,22
40,Toronto Raptors,105,Brooklyn Nets,106,15,8,7,725.0,106.7,106.0,0.7,54.7,1.73,16.1,27.1,72.9,49.4,12.6,49.7,53.6,98.12,49.3,15,9,6,735.0,110.1,110.4,-0.3,62.2,1.62,17.8,27.0,75.7,51.5,15.1,53.4,57.3,99.17,50.1,-1
41,Sacramento Kings,129,Cleveland Cavaliers,110,15,9,6,720.0,111.3,110.8,0.5,60.6,2.02,18.3,25.9,69.8,47.1,12.5,53.5,56.2,104.50,49.3,16,4,12,768.0,105.3,116.9,-11.5,53.2,1.66,15.7,28.0,71.2,49.2,12.8,49.4,52.8,95.66,44.4,19
42,Oklahoma City Thunder,112,Chicago Bulls,114,15,9,6,720.0,108.1,101.7,6.4,51.4,1.43,15.6,29.9,74.6,51.6,14.9,51.9,54.7,105.10,52.7,14,5,9,672.0,98.7,107.1,-8.4,54.1,1.26,15.7,23.2,70.6,47.3,16.4,49.4,52.7,96.93,45.3,-2
43,Memphis Grizzlies,107,New Orleans Pelicans,103,15,5,10,720.0,102.7,105.9,-3.2,60.3,1.59,17.4,20.7,70.7,46.0,14.6,50.7,54.4,95.17,48.7,15,6,9,720.0,112.2,112.1,0.2,64.1,2.00,19.4,27.9,72.1,50.2,13.6,53.4,56.8,101.27,50.7,4
44,Los Angeles Lakers,120,San Antonio Spurs,133,15,8,7,720.0,110.0,106.7,3.2,59.0,1.71,18.0,25.3,75.1,51.1,14.4,55.1,57.4,104.17,52.3,16,11,5,768.0,116.7,106.4,10.3,59.1,2.19,19.4,22.9,72.9,49.9,12.1,57.0,60.6,99.00,56.7,-13
45,Miami Heat,115,Phoenix Suns,98,14,9,5,672.0,107.9,104.1,3.9,63.1,1.80,17.8,31.2,73.6,52.0,14.1,50.6,53.3,96.29,51.9,16,5,11,793.0,104.9,112.4,-7.5,59.5,1.58,17.4,27.9,69.9,48.3,15.1,50.8,54.3,99.93,46.2,17
46,Golden State Warriors,105,Milwaukee Bucks,95,15,10,5,725.0,110.6,106.7,3.9,67.4,1.97,19.5,23.7,75.1,49.9,13.7,53.7,57.6,103.15,53.2,14,10,4,677.0,108.4,102.1,6.3,60.3,1.71,17.5,24.2,75.7,50.9,13.9,52.2,55.8,101.71,53.8,10
47,Houston Rockets,104,Dallas Mavericks,107,15,11,4,720.0,113.4,109.1,4.3,55.5,1.46,15.8,27.9,71.5,49.7,14.7,53.8,57.9,97.23,49.5,16,7,9,773.0,107.9,110.2,-2.2,59.1,1.43,16.2,28.8,73.4,51.4,15.5,51.4,55.8,101.62,49.8,-3
48,Sacramento Kings,97,Indiana Pacers,107,15,9,6,720.0,111.3,110.8,0.5,60.6,2.02,18.3,25.9,69.8,47.1,12.5,53.5,56.2,104.50,49.3,15,12,3,720.0,109.7,99.6,10.1,65.3,1.78,19.6,28.0,71.4,51.2,15.5,53.9,57.2,99.87,57.9,-10
49,Denver Nuggets,98,Atlanta Hawks,106,12,8,4,581.0,110.5,109.3,1.1,68.8,1.89,19.7,30.2,72.9,51.5,14.9,52.5,55.8,98.07,50.5,13,6,7,629.0,108.5,112.6,-4.1,66.7,1.49,18.6,33.6,73.2,52.8,17.9,52.6,55.7,103.48,46.6,-8
50,Washington Wizards,101,Cleveland Cavaliers,116,15,6,9,740.0,109.6,112.1,-2.5,63.4,1.92,19.1,23.0,69.4,46.1,13.6,54.0,57.2,100.61,49.0,16,4,12,768.0,105.3,116.9,-11.5,53.2,1.66,15.7,28.0,71.2,49.2,12.8,49.4,52.8,95.66,44.4,-15
51,Brooklyn Nets,112,New York Knicks,104,15,9,6,735.0,110.1,110.4,-0.3,62.2,1.62,17.8,27.0,75.7,51.5,15.1,53.4,57.3,99.17,50.1,14,2,12,682.0,104.8,116.1,-11.3,54.6,1.59,15.7,25.5,72.3,47.4,13.3,49.4,52.7,101.07,41.9,8
52,Boston Celtics,133,Chicago Bulls,77,14,9,5,682.0,115.5,107.7,7.7,62.3,2.08,18.7,27.7,71.9,49.8,12.6,54.6,58.3,99.98,54.8,14,5,9,672.0,98.7,107.1,-8.4,54.1,1.26,15.7,23.2,70.6,47.3,16.4,49.4,52.7,96.93,45.3,56
53,Los Angeles Lakers,111,Memphis Grizzlies,88,15,8,7,720.0,110.0,106.7,3.2,59.0,1.71,18.0,25.3,75.1,51.1,14.4,55.1,57.4,104.17,52.3,15,5,10,720.0,102.7,105.9,-3.2,60.3,1.59,17.4,20.7,70.7,46.0,14.6,50.7,54.4,95.17,48.7,23
54,Minnesota Timberwolves,105,Portland Trail Blazers,113,15,6,9,730.0,111.6,111.7,0.0,62.9,2.12,18.3,29.0,71.1,49.7,12.2,51.2,55.4,100.47,51.7,15,8,7,730.0,108.1,109.3,-1.1,54.3,1.46,16.1,28.9,75.4,52.1,14.9,51.6,55.5,99.45,48.8,-8
55,Miami Heat,121,Los Angeles Clippers,98,14,9,5,672.0,107.9,104.1,3.9,63.1,1.80,17.8,31.2,73.6,52.0,14.1,50.6,53.3,96.29,51.9,15,6,9,725.0,109.9,114.4,-4.4,56.7,1.43,16.6,25.8,72.9,50.2,15.6,53.1,58.1,102.59,47.7,23
56,New Orleans Pelicans,116,Detroit Pistons,108,15,6,9,720.0,112.2,112.1,0.2,64.1,2.00,19.4,27.9,72.1,50.2,13.6,53.4,56.8,101.27,50.7,15,4,11,725.0,102.4,108.6,-6.2,60.0,1.39,16.4,29.6,74.8,51.0,16.3,48.7,51.9,99.94,44.3,8
57,Milwaukee Bucks,104,Toronto Raptors,99,14,10,4,677.0,108.4,102.1,6.3,60.3,1.71,17.5,24.2,75.7,50.9,13.9,52.2,55.8,101.71,53.8,15,8,7,725.0,106.7,106.0,0.7,54.7,1.73,16.1,27.1,72.9,49.4,12.6,49.7,53.6,98.12,49.3,5
58,Utah Jazz,97,San Antonio Spurs,110,14,7,7,672.0,109.3,100.6,8.7,65.8,1.67,19.1,27.8,76.8,53.1,16.0,54.3,57.1,100.71,56.1,16,11,5,768.0,116.7,106.4,10.3,59.1,2.19,19.4,22.9,72.9,49.9,12.1,57.0,60.6,99.00,56.7,-13
59,Charlotte Hornets,119,New York Knicks,107,14,7,7,687.0,110.4,110.3,0.1,58.7,1.94,17.2,26.3,73.4,49.4,12.2,51.1,55.2,99.46,48.8,14,2,12,682.0,104.8,116.1,-11.3,54.6,1.59,15.7,25.5,72.3,47.4,13.3,49.4,52.7,101.07,41.9,12
60,Washington Wizards,101,Indiana Pacers,109,15,6,9,740.0,109.6,112.1,-2.5,63.4,1.92,19.1,23.0,69.4,46.1,13.6,54.0,57.2,100.61,49.0,15,12,3,720.0,109.7,99.6,10.1,65.3,1.78,19.6,28.0,71.4,51.2,15.5,53.9,57.2,99.87,57.9,-8
61,Detroit Pistons,102,Philadelphia 76ers,116,15,4,11,725.0,102.4,108.6,-6.2,60.0,1.39,16.4,29.6,74.8,51.0,16.3,48.7,51.9,99.94,44.3,13,7,6,629.0,110.6,108.4,2.2,64.0,1.85,19.0,25.3,74.5,50.2,14.2,53.4,56.9,101.49,51.6,-14
62,New Orleans Pelicans,100,Boston Celtics,113,15,6,9,720.0,112.2,112.1,0.2,64.1,2.00,19.4,27.9,72.1,50.2,13.6,53.4,56.8,101.27,50.7,14,9,5,682.0,115.5,107.7,7.7,62.3,2.08,18.7,27.7,71.9,49.8,12.6,54.6,58.3,99.98,54.8,-13
63,Sacramento Kings,108,Chicago Bulls,89,15,9,6,720.0,111.3,110.8,0.5,60.6,2.02,18.3,25.9,69.8,47.1,12.5,53.5,56.2,104.50,49.3,14,5,9,672.0,98.7,107.1,-8.4,54.1,1.26,15.7,23.2,70.6,47.3,16.4,49.4,52.7,96.93,45.3,19
64,Cleveland Cavaliers,92,Milwaukee Bucks,108,16,4,12,768.0,105.3,116.9,-11.5,53.2,1.66,15.7,28.0,71.2,49.2,12.8,49.4,52.8,95.66,44.4,14,10,4,677.0,108.4,102.1,6.3,60.3,1.71,17.5,24.2,75.7,50.9,13.9,52.2,55.8,101.71,53.8,-16
65,Utah Jazz,113,Oklahoma City Thunder,122,14,7,7,672.0,109.3,100.6,8.7,65.8,1.67,19.1,27.8,76.8,53.1,16.0,54.3,57.1,100.71,56.1,15,9,6,720.0,108.1,101.7,6.4,51.4,1.43,15.6,29.9,74.6,51.6,14.9,51.9,54.7,105.10,52.7,-9
66,Orlando Magic,76,Dallas Mavericks,101,13,5,8,634.0,101.7,109.0,-7.3,58.2,1.44,16.1,27.0,75.2,50.3,15.2,48.7,52.2,95.92,44.9,16,7,9,773.0,107.9,110.2,-2.2,59.1,1.43,16.2,28.8,73.4,51.4,15.5,51.4,55.8,101.62,49.8,-25
67,Memphis Grizzlies,99,Denver Nuggets,105,15,5,10,720.0,102.7,105.9,-3.2,60.3,1.59,17.4,20.7,70.7,46.0,14.6,50.7,54.4,95.17,48.7,12,8,4,581.0,110.5,109.3,1.1,68.8,1.89,19.7,30.2,72.9,51.5,14.9,52.5,55.8,98.07,50.5,-6
68,Los Angeles Clippers,123,Phoenix Suns,119,15,6,9,725.0,109.9,114.4,-4.4,56.7,1.43,16.6,25.8,72.9,50.2,15.6,53.1,58.1,102.59,47.7,16,5,11,793.0,104.9,112.4,-7.5,59.5,1.58,17.4,27.9,69.9,48.3,15.1,50.8,54.3,99.93,46.2,4
69,Minnesota Timberwolves,108,Golden State Warriors,116,15,6,9,730.0,111.6,111.7,0.0,62.9,2.12,18.3,29.0,71.1,49.7,12.2,51.2,55.4,100.47,51.7,15,10,5,725.0,110.6,106.7,3.9,67.4,1.97,19.5,23.7,75.1,49.9,13.7,53.7,57.6,103.15,53.2,-8
70,Miami Heat,105,Los Angeles Lakers,108,14,9,5,672.0,107.9,104.1,3.9,63.1,1.80,17.8,31.2,73.6,52.0,14.1,50.6,53.3,96.29,51.9,15,8,7,720.0,110.0,106.7,3.2,59.0,1.71,18.0,25.3,75.1,51.1,14.4,55.1,57.4,104.17,52.3,-3
71,Portland Trail Blazers,104,Houston Rockets,111,15,8,7,730.0,108.1,109.3,-1.1,54.3,1.46,16.1,28.9,75.4,52.1,14.9,51.6,55.5,99.45,48.8,15,11,4,720.0,113.4,109.1,4.3,55.5,1.46,15.8,27.9,71.5,49.7,14.7,53.8,57.9,97.23,49.5,-7
72,Phoenix Suns,86,San Antonio Spurs,111,16,5,11,793.0,104.9,112.4,-7.5,59.5,1.58,17.4,27.9,69.9,48.3,15.1,50.8,54.3,99.93,46.2,16,11,5,768.0,116.7,106.4,10.3,59.1,2.19,19.4,22.9,72.9,49.9,12.1,57.0,60.6,99.00,56.7,-25
73,Toronto Raptors,123,Los Angeles Clippers,99,15,8,7,725.0,106.7,106.0,0.7,54.7,1.73,16.1,27.1,72.9,49.4,12.6,49.7,53.6,98.12,49.3,15,6,9,725.0,109.9,114.4,-4.4,56.7,1.43,16.6,25.8,72.9,50.2,15.6,53.1,58.1,102.59,47.7,24
74,Detroit Pistons,107,Charlotte Hornets,108,15,4,11,725.0,102.4,108.6,-6.2,60.0,1.39,16.4,29.6,74.8,51.0,16.3,48.7,51.9,99.94,44.3,14,7,7,687.0,110.4,110.3,0.1,58.7,1.94,17.2,26.3,73.4,49.4,12.2,51.1,55.2,99.46,48.8,-1
75,New York Knicks,106,Cleveland Cavaliers,113,14,2,12,682.0,104.8,116.1,-11.3,54.6,1.59,15.7,25.5,72.3,47.4,13.3,49.4,52.7,101.07,41.9,16,4,12,768.0,105.3,116.9,-11.5,53.2,1.66,15.7,28.0,71.2,49.2,12.8,49.4,52.8,95.66,44.4,-7
76,Milwaukee Bucks,97,Indiana Pacers,113,14,10,4,677.0,108.4,102.1,6.3,60.3,1.71,17.5,24.2,75.7,50.9,13.9,52.2,55.8,101.71,53.8,15,12,3,720.0,109.7,99.6,10.1,65.3,1.78,19.6,28.0,71.4,51.2,15.5,53.9,57.2,99.87,57.9,-16
77,Brooklyn Nets,127,Philadelphia 76ers,124,15,9,6,735.0,110.1,110.4,-0.3,62.2,1.62,17.8,27.0,75.7,51.5,15.1,53.4,57.3,99.17,50.1,13,7,6,629.0,110.6,108.4,2.2,64.0,1.85,19.0,25.3,74.5,50.2,14.2,53.4,56.9,101.49,51.6,3
78,Boston Celtics,130,Washington Wizards,125,14,9,5,682.0,115.5,107.7,7.7,62.3,2.08,18.7,27.7,71.9,49.8,12.6,54.6,58.3,99.98,54.8,15,6,9,740.0,109.6,112.1,-2.5,63.4,1.92,19.1,23.0,69.4,46.1,13.6,54.0,57.2,100.61,49.0,5
