,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Boston Celtics,107,Miami Heat,120,1,0,1,48.0,110.3,122.4,-12.1,61.5,1.50,18.8,17.9,87.2,52.6,16.5,56.0,61.3,97.50,44.0,1,1,0,48.0,122.4,110.3,12.1,58.1,3.13,19.5,12.8,82.1,47.4,8.2,59.5,64.5,97.50,56.0,-13
1,Dallas Mavericks,99,Los Angeles Lakers,91,2,1,1,96.0,101.6,106.8,-5.2,58.3,1.50,16.3,27.5,61.3,44.7,14.7,47.1,51.0,95.25,44.2,2,0,2,96.0,107.1,115.6,-8.5,60.8,1.15,17.0,39.3,69.2,54.4,21.2,53.4,55.7,92.50,45.0,8
2,Denver Nuggets,75,Philadelphia 76ers,84,1,0,1,48.0,79.8,88.4,-8.6,57.6,0.86,14.1,37.3,70.2,53.4,23.4,39.8,40.4,94.50,39.4,1,1,0,48.0,88.4,79.8,8.6,60.0,1.13,14.0,29.8,62.7,46.6,16.8,39.4,44.6,94.50,60.6,-9
3,Indiana Pacers,90,Toronto Raptors,88,1,1,0,48.0,98.9,96.7,2.2,59.5,1.16,17.5,31.8,63.8,50.0,20.9,50.6,52.9,91.00,54.4,1,0,1,48.0,96.7,98.9,-2.2,54.5,1.80,14.1,36.2,68.2,50.0,11.0,39.6,44.3,91.00,45.6,2
4,Houston Rockets,105,Detroit Pistons,96,1,1,0,48.0,108.2,100.0,8.2,71.8,1.40,20.0,34.9,74.5,55.6,20.6,55.7,58.9,96.50,54.1,1,0,1,48.0,100.0,108.2,-8.2,60.0,1.31,16.3,25.5,65.1,44.4,16.7,48.1,53.1,96.50,45.9,9
5,Sacramento Kings,87,Chicago Bulls,93,1,0,1,48.0,89.7,94.9,-5.2,41.2,0.67,11.0,31.4,68.8,49.5,21.6,44.0,47.8,97.50,37.5,1,1,0,48.0,94.9,89.7,5.2,63.6,1.17,15.7,31.3,68.6,50.5,18.4,43.0,49.7,97.50,62.5,-6
6,San Antonio Spurs,99,New Orleans Hornets,95,1,1,0,48.0,103.1,97.9,5.2,57.9,1.38,17.1,23.9,74.5,49.5,16.7,51.3,54.1,96.50,49.0,1,0,1,48.0,97.9,103.1,-5.2,74.3,1.73,19.3,25.5,76.1,50.5,15.5,46.3,52.7,96.50,51.0,4
7,Dallas Mavericks,94,Utah Jazz,113,2,1,1,96.0,101.6,106.8,-5.2,58.3,1.50,16.3,27.5,61.3,44.7,14.7,47.1,51.0,95.25,44.2,1,1,0,48.0,110.8,94.0,16.8,63.2,1.71,16.1,42.1,78.2,59.8,13.7,46.1,52.6,101.00,65.8,-19
8,Golden State Warriors,87,Phoenix Suns,85,1,1,0,48.0,93.5,91.4,2.2,57.6,1.06,14.3,38.6,68.0,52.3,19.4,41.3,45.3,93.00,49.0,1,0,1,48.0,91.4,93.5,-2.2,50.0,0.89,12.8,32.0,61.4,47.7,19.4,42.5,47.4,93.00,51.0,2
9,Memphis Grizzlies,92,Los Angeles Clippers,101,1,0,1,48.0,92.0,100.0,-8.0,72.7,1.14,16.4,40.0,72.5,53.7,21.0,39.5,46.4,100.50,42.8,1,1,0,48.0,100.0,92.0,8.0,65.8,1.14,18.5,27.5,60.0,46.3,21.8,54.7,58.2,100.50,57.2,-9
10,Los Angeles Lakers,106,Portland Trail Blazers,116,2,0,2,96.0,107.1,115.6,-8.5,60.8,1.15,17.0,39.3,69.2,54.4,21.2,53.4,55.7,92.50,45.0,1,1,0,48.0,120.8,111.6,9.3,45.2,1.58,15.0,27.3,55.0,40.5,12.5,56.0,60.8,95.50,55.6,-10
