,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Los Angeles Lakers,91,Philadelphia 76ers,103,17,4,13,821.0,99.0,111.0,-12.1,51.3,1.32,14.2,27.9,68.8,47.3,14.4,46.2,49.9,96.96,40.4,16,3,13,768.0,96.3,107.9,-11.6,55.2,1.05,14.7,27.3,71.8,48.7,18.6,48.0,51.3,98.22,41.2,-12
1,Phoenix Suns,91,Brooklyn Nets,94,18,4,14,869.0,101.8,108.0,-6.2,55.7,1.23,16.0,27.6,70.3,48.5,17.4,50.5,53.8,97.38,45.6,15,5,10,725.0,102.1,108.0,-5.9,58.3,1.52,17.2,28.6,74.0,50.7,15.5,49.3,52.5,95.83,46.4,-3
2,Orlando Magic,96,Minnesota Timberwolves,93,15,10,5,720.0,106.6,102.8,3.8,57.1,1.59,17.7,27.0,74.0,50.6,15.2,52.5,55.4,93.93,52.0,16,4,12,778.0,102.4,108.1,-5.7,61.6,1.51,17.1,27.5,70.0,48.4,15.4,47.8,53.1,95.51,47.2,3
3,Memphis Grizzlies,113,New Orleans Pelicans,104,16,8,8,773.0,103.6,106.2,-2.6,58.0,1.70,16.8,28.4,70.2,49.1,13.5,47.9,52.3,92.77,49.6,15,6,9,730.0,105.2,107.1,-1.9,57.3,1.49,16.5,24.0,72.7,49.0,14.7,50.4,55.0,95.61,48.8,9
4,Dallas Mavericks,115,Portland Trail Blazers,112,14,9,5,682.0,108.8,105.5,3.3,57.9,1.74,17.1,24.6,74.6,49.5,13.2,52.0,55.8,95.30,51.6,17,7,10,821.0,107.0,108.1,-1.1,56.6,1.41,16.3,31.9,75.5,52.9,16.0,50.8,54.0,95.15,48.0,3
5,Golden State Warriors,116,Charlotte Hornets,99,13,11,2,634.0,110.2,102.6,7.6,66.8,1.72,19.3,27.5,71.1,50.6,15.6,54.0,57.3,100.58,56.0,14,7,7,677.0,104.6,103.2,1.4,61.2,1.62,16.6,25.6,76.3,50.5,13.8,48.9,53.5,97.10,50.1,17
6,Los Angeles Lakers,108,Washington Wizards,104,17,4,13,821.0,99.0,111.0,-12.1,51.3,1.32,14.2,27.9,68.8,47.3,14.4,46.2,49.9,96.96,40.4,16,8,8,768.0,105.2,105.5,-0.3,62.5,1.73,18.4,24.2,72.0,47.9,14.4,51.9,55.2,98.31,49.6,4
7,Phoenix Suns,122,Detroit Pistons,127,18,4,14,869.0,101.8,108.0,-6.2,55.7,1.23,16.0,27.6,70.3,48.5,17.4,50.5,53.8,97.38,45.6,15,9,6,750.0,106.3,103.4,2.9,49.4,1.36,14.3,32.7,72.2,51.7,14.3,49.6,52.6,96.58,51.2,-5
8,Philadelphia 76ers,87,New York Knicks,99,16,3,13,768.0,96.3,107.9,-11.6,55.2,1.05,14.7,27.3,71.8,48.7,18.6,48.0,51.3,98.22,41.2,15,7,8,720.0,104.6,105.6,-1.1,57.4,1.48,16.6,26.8,71.7,50.1,15.2,49.6,54.1,94.97,50.5,-12
9,Toronto Raptors,96,Atlanta Hawks,86,15,9,6,725.0,105.4,103.1,2.3,50.7,1.50,14.5,26.9,75.7,51.2,12.8,48.7,53.5,93.32,51.6,14,9,5,672.0,105.3,103.4,1.9,63.6,1.72,18.6,23.6,68.9,46.4,14.7,51.3,55.1,96.50,51.9,10
