,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Dallas Mavericks,109,New Orleans Pelicans,104,16,12,4,773.0,113.3,103.8,9.5,60.6,2.16,18.4,28.4,65.7,47.4,11.9,53.0,56.6,95.57,57.1,14,6,8,672.0,107.8,107.1,0.7,56.0,1.89,16.7,29.0,70.1,48.7,12.2,49.4,53.3,93.18,49.3,5
1,Toronto Raptors,108,Orlando Magic,95,16,12,4,773.0,113.5,103.7,9.9,51.1,1.71,15.2,29.8,70.3,49.6,12.0,50.6,56.0,94.73,53.8,17,7,10,821.0,100.3,105.0,-4.7,53.7,1.24,15.6,26.2,73.4,50.0,16.8,49.7,53.0,94.25,46.2,13
2,Miami Heat,114,Philadelphia 76ers,96,15,8,7,720.0,105.9,106.7,-0.8,61.6,1.43,17.2,26.2,68.6,48.0,16.2,52.1,56.3,90.33,49.7,14,0,14,672.0,93.6,108.8,-15.2,61.3,1.07,15.7,28.3,68.7,47.1,19.8,46.3,50.0,97.89,38.8,18
3,Milwaukee Bucks,97,Washington Wizards,108,16,9,7,783.0,102.2,104.2,-2.0,59.4,1.34,16.7,31.8,66.9,49.3,17.3,48.3,52.5,92.93,49.2,13,9,4,629.0,102.9,101.5,1.4,66.3,1.68,18.7,30.7,70.3,50.9,15.7,49.2,52.8,93.63,54.0,-11
4,Indiana Pacers,92,Atlanta Hawks,102,15,6,9,725.0,101.2,103.5,-2.3,53.1,1.31,14.8,32.2,76.3,53.1,15.6,46.6,50.1,91.43,46.6,14,9,5,682.0,109.4,106.3,3.1,65.2,1.71,18.8,28.3,69.0,49.5,15.3,52.3,56.8,93.36,52.8,-10
5,Brooklyn Nets,102,Detroit Pistons,90,14,6,8,687.0,103.7,104.1,-0.4,54.1,1.36,15.7,26.5,69.0,48.3,15.4,49.5,53.9,92.93,49.3,15,3,12,725.0,100.3,106.7,-6.4,55.7,1.41,15.2,29.9,71.6,49.5,14.7,46.3,49.8,92.09,43.7,12
6,Boston Celtics,90,Houston Rockets,104,13,3,10,624.0,103.8,109.6,-5.8,61.7,1.74,18.1,29.1,71.7,49.8,14.5,49.4,52.7,98.27,47.3,15,11,4,720.0,102.3,99.1,3.2,60.0,1.16,15.5,31.3,68.4,49.7,18.3,49.5,53.2,94.00,50.4,-14
7,Chicago Bulls,106,Minnesota Timberwolves,105,15,10,5,720.0,105.9,104.0,1.9,59.2,1.51,16.6,28.3,71.8,50.6,14.9,49.8,54.6,94.77,52.2,13,3,10,629.0,103.0,114.2,-11.2,58.9,1.45,16.4,32.6,69.4,49.4,15.7,47.3,51.9,97.34,43.7,1
8,Denver Nuggets,91,Oklahoma City Thunder,102,15,7,8,725.0,108.9,109.2,-0.2,54.7,1.49,15.8,30.7,70.9,50.5,14.5,50.0,54.3,97.39,48.6,15,5,10,725.0,99.7,101.6,-1.9,53.8,1.24,14.9,30.0,72.3,50.9,16.3,47.0,50.2,90.50,47.1,-11
9,Phoenix Suns,91,Utah Jazz,118,16,8,8,778.0,105.1,105.5,-0.4,54.0,1.31,15.7,27.0,69.7,48.3,16.0,50.5,54.8,97.85,49.5,15,5,10,720.0,104.4,109.6,-5.2,59.3,1.37,16.9,29.2,70.3,50.3,16.8,50.6,54.5,91.37,49.3,-27
10,Los Angeles Lakers,104,Golden State Warriors,127,14,4,10,682.0,107.8,114.0,-6.2,51.5,1.65,15.2,31.0,69.1,49.0,12.5,48.3,52.7,96.11,45.4,15,13,2,720.0,108.6,98.7,9.9,64.4,1.55,19.1,26.0,71.4,51.0,17.0,55.0,58.5,99.23,57.8,-23
11,Sacramento Kings,98,Los Angeles Clippers,92,15,8,7,730.0,107.8,107.0,0.9,53.7,1.22,15.2,33.4,74.7,55.2,16.9,49.9,56.1,93.76,52.2,14,9,5,672.0,111.3,106.4,4.9,60.1,1.91,18.5,23.1,71.5,47.9,13.1,54.5,57.8,92.96,53.0,6
12,Toronto Raptors,102,Miami Heat,107,16,12,4,773.0,113.5,103.7,9.9,51.1,1.71,15.2,29.8,70.3,49.6,12.0,50.6,56.0,94.73,53.8,15,8,7,720.0,105.9,106.7,-0.8,61.6,1.43,17.2,26.2,68.6,48.0,16.2,52.1,56.3,90.33,49.7,-5
13,Charlotte Hornets,93,New York Knicks,96,17,3,14,826.0,99.2,107.7,-8.5,58.8,1.78,16.7,25.4,73.8,49.0,12.6,46.5,50.2,92.40,45.7,16,3,13,773.0,102.4,108.3,-5.9,55.6,1.34,16.2,29.9,67.7,48.8,16.4,49.5,52.8,91.25,45.8,-3
14,Golden State Warriors,95,Portland Trail Blazers,90,15,13,2,720.0,108.6,98.7,9.9,64.4,1.55,19.1,26.0,71.4,51.0,17.0,55.0,58.5,99.23,57.8,15,12,3,720.0,109.4,100.3,9.0,62.1,1.66,18.1,31.2,74.9,53.6,15.3,51.5,55.1,95.87,55.1,5
15,Houston Rockets,104,Philadelphia 76ers,93,15,11,4,720.0,102.3,99.1,3.2,60.0,1.16,15.5,31.3,68.4,49.7,18.3,49.5,53.2,94.00,50.4,14,0,14,672.0,93.6,108.8,-15.2,61.3,1.07,15.7,28.3,68.7,47.1,19.8,46.3,50.0,97.89,38.8,11
16,Oklahoma City Thunder,85,Brooklyn Nets,116,15,5,10,725.0,99.7,101.6,-1.9,53.8,1.24,14.9,30.0,72.3,50.9,16.3,47.0,50.2,90.50,47.1,14,6,8,687.0,103.7,104.1,-0.4,54.1,1.36,15.7,26.5,69.0,48.3,15.4,49.5,53.9,92.93,49.3,-31
17,New Orleans Pelicans,81,Memphis Grizzlies,93,14,6,8,672.0,107.8,107.1,0.7,56.0,1.89,16.7,29.0,70.1,48.7,12.2,49.4,53.3,93.18,49.3,15,13,2,720.0,107.6,99.1,8.5,58.6,1.73,17.2,30.3,72.4,51.9,13.7,49.4,54.1,93.07,56.8,-12
18,Boston Celtics,113,Dallas Mavericks,118,13,3,10,624.0,103.8,109.6,-5.8,61.7,1.74,18.1,29.1,71.7,49.8,14.5,49.4,52.7,98.27,47.3,16,12,4,773.0,113.3,103.8,9.5,60.6,2.16,18.4,28.4,65.7,47.4,11.9,53.0,56.6,95.57,57.1,-5
19,Sacramento Kings,110,Denver Nuggets,105,15,8,7,730.0,107.8,107.0,0.9,53.7,1.22,15.2,33.4,74.7,55.2,16.9,49.9,56.1,93.76,52.2,15,7,8,725.0,108.9,109.2,-0.2,54.7,1.49,15.8,30.7,70.9,50.5,14.5,50.0,54.3,97.39,48.6,5
20,Utah Jazz,101,Los Angeles Clippers,107,15,5,10,720.0,104.4,109.6,-5.2,59.3,1.37,16.9,29.2,70.3,50.3,16.8,50.6,54.5,91.37,49.3,14,9,5,672.0,111.3,106.4,4.9,60.1,1.91,18.5,23.1,71.5,47.9,13.1,54.5,57.8,92.96,53.0,-6
21,Milwaukee Bucks,87,Indiana Pacers,81,16,9,7,783.0,102.2,104.2,-2.0,59.4,1.34,16.7,31.8,66.9,49.3,17.3,48.3,52.5,92.93,49.2,15,6,9,725.0,101.2,103.5,-2.3,53.1,1.31,14.8,32.2,76.3,53.1,15.6,46.6,50.1,91.43,46.6,6
22,Houston Rockets,108,Miami Heat,91,15,11,4,720.0,102.3,99.1,3.2,60.0,1.16,15.5,31.3,68.4,49.7,18.3,49.5,53.2,94.00,50.4,15,8,7,720.0,105.9,106.7,-0.8,61.6,1.43,17.2,26.2,68.6,48.0,16.2,52.1,56.3,90.33,49.7,17
23,Washington Wizards,98,New York Knicks,83,13,9,4,629.0,102.9,101.5,1.4,66.3,1.68,18.7,30.7,70.3,50.9,15.7,49.2,52.8,93.63,54.0,16,3,13,773.0,102.4,108.3,-5.9,55.6,1.34,16.2,29.9,67.7,48.8,16.4,49.5,52.8,91.25,45.8,15
24,Oklahoma City Thunder,88,Toronto Raptors,100,15,5,10,725.0,99.7,101.6,-1.9,53.8,1.24,14.9,30.0,72.3,50.9,16.3,47.0,50.2,90.50,47.1,16,12,4,773.0,113.5,103.7,9.9,51.1,1.71,15.2,29.8,70.3,49.6,12.0,50.6,56.0,94.73,53.8,-12
25,Orlando Magic,90,Chicago Bulls,98,17,7,10,821.0,100.3,105.0,-4.7,53.7,1.24,15.6,26.2,73.4,50.0,16.8,49.7,53.0,94.25,46.2,15,10,5,720.0,105.9,104.0,1.9,59.2,1.51,16.6,28.3,71.8,50.6,14.9,49.8,54.6,94.77,52.2,-8
26,Charlotte Hornets,91,New Orleans Pelicans,100,17,3,14,826.0,99.2,107.7,-8.5,58.8,1.78,16.7,25.4,73.8,49.0,12.6,46.5,50.2,92.40,45.7,14,6,8,672.0,107.8,107.1,0.7,56.0,1.89,16.7,29.0,70.1,48.7,12.2,49.4,53.3,93.18,49.3,-9
27,Cleveland Cavaliers,82,Portland Trail Blazers,101,13,7,6,624.0,110.2,105.5,4.7,58.9,1.64,17.1,29.0,71.1,50.3,14.3,51.5,56.0,93.88,52.0,15,12,3,720.0,109.4,100.3,9.0,62.1,1.66,18.1,31.2,74.9,53.6,15.3,51.5,55.1,95.87,55.1,-19
28,Phoenix Suns,112,Los Angeles Lakers,106,16,8,8,778.0,105.1,105.5,-0.4,54.0,1.31,15.7,27.0,69.7,48.3,16.0,50.5,54.8,97.85,49.5,14,4,10,682.0,107.8,114.0,-6.2,51.5,1.65,15.2,31.0,69.1,49.0,12.5,48.3,52.7,96.11,45.4,6
29,Miami Heat,89,Charlotte Hornets,96,15,8,7,720.0,105.9,106.7,-0.8,61.6,1.43,17.2,26.2,68.6,48.0,16.2,52.1,56.3,90.33,49.7,17,3,14,826.0,99.2,107.7,-8.5,58.8,1.78,16.7,25.4,73.8,49.0,12.6,46.5,50.2,92.40,45.7,-7
30,Orlando Magic,91,Philadelphia 76ers,89,17,7,10,821.0,100.3,105.0,-4.7,53.7,1.24,15.6,26.2,73.4,50.0,16.8,49.7,53.0,94.25,46.2,14,0,14,672.0,93.6,108.8,-15.2,61.3,1.07,15.7,28.3,68.7,47.1,19.8,46.3,50.0,97.89,38.8,2
31,Toronto Raptors,110,Boston Celtics,107,16,12,4,773.0,113.5,103.7,9.9,51.1,1.71,15.2,29.8,70.3,49.6,12.0,50.6,56.0,94.73,53.8,13,3,10,624.0,103.8,109.6,-5.8,61.7,1.74,18.1,29.1,71.7,49.8,14.5,49.4,52.7,98.27,47.3,3
32,Minnesota Timberwolves,98,Brooklyn Nets,91,13,3,10,629.0,103.0,114.2,-11.2,58.9,1.45,16.4,32.6,69.4,49.4,15.7,47.3,51.9,97.34,43.7,14,6,8,687.0,103.7,104.1,-0.4,54.1,1.36,15.7,26.5,69.0,48.3,15.4,49.5,53.9,92.93,49.3,7
33,New York Knicks,95,Detroit Pistons,98,16,3,13,773.0,102.4,108.3,-5.9,55.6,1.34,16.2,29.9,67.7,48.8,16.4,49.5,52.8,91.25,45.8,15,3,12,725.0,100.3,106.7,-6.4,55.7,1.41,15.2,29.9,71.6,49.5,14.7,46.3,49.8,92.09,43.7,-3
34,Chicago Bulls,95,Milwaukee Bucks,86,15,10,5,720.0,105.9,104.0,1.9,59.2,1.51,16.6,28.3,71.8,50.6,14.9,49.8,54.6,94.77,52.2,16,9,7,783.0,102.2,104.2,-2.0,59.4,1.34,16.7,31.8,66.9,49.3,17.3,48.3,52.5,92.93,49.2,9
35,Indiana Pacers,94,Washington Wizards,96,15,6,9,725.0,101.2,103.5,-2.3,53.1,1.31,14.8,32.2,76.3,53.1,15.6,46.6,50.1,91.43,46.6,13,9,4,629.0,102.9,101.5,1.4,66.3,1.68,18.7,30.7,70.3,50.9,15.7,49.2,52.8,93.63,54.0,-2
36,Atlanta Hawks,92,San Antonio Spurs,94,14,9,5,682.0,109.4,106.3,3.1,65.2,1.71,18.8,28.3,69.0,49.5,15.3,52.3,56.8,93.36,52.8,14,11,3,672.0,105.8,97.2,8.6,64.6,1.68,18.6,27.1,75.0,52.1,15.3,51.0,55.1,94.54,56.1,-2
37,Memphis Grizzlies,102,Phoenix Suns,91,15,13,2,720.0,107.6,99.1,8.5,58.6,1.73,17.2,30.3,72.4,51.9,13.7,49.4,54.1,93.07,56.8,16,8,8,778.0,105.1,105.5,-0.4,54.0,1.31,15.7,27.0,69.7,48.3,16.0,50.5,54.8,97.85,49.5,11
