,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
10,Cleveland Cavaliers,106,Memphis Grizzlies,76,3,2,1,144.0,105.2,92.3,12.9,67.8,1.95,19.5,30.5,77.6,54.2,14.2,50.0,52.6,95.83,58.6,3,2,1,144.0,101.8,105.3,-3.5,64.4,1.72,17.2,26.5,71.3,47.7,13.7,46.3,51.8,94.83,48.6,30
11,Denver Nuggets,105,Houston Rockets,85,2,1,1,96.0,92.4,91.8,0.6,59.4,1.14,15.0,33.0,74.5,53.5,18.2,44.8,48.0,98.50,49.6,2,0,2,96.0,88.5,108.5,-20.0,60.0,1.06,13.3,29.7,74.0,49.5,17.0,39.3,45.1,100.00,37.1,20
12,Dallas Mavericks,111,Phoenix Suns,95,2,1,1,96.0,97.1,97.5,-0.5,61.3,2.19,16.8,19.5,74.6,47.1,10.2,45.6,49.2,102.25,52.4,3,2,1,144.0,99.0,94.8,4.2,43.6,0.94,11.9,30.7,81.4,55.3,16.5,45.6,50.3,103.00,52.1,16
13,New Orleans Pelicans,94,Portland Trail Blazers,112,3,0,3,144.0,100.3,115.2,-14.8,53.0,1.35,15.2,25.0,73.2,47.4,14.9,47.3,50.8,103.00,39.4,3,1,2,144.0,96.1,99.7,-3.6,53.2,1.16,15.0,20.4,73.0,47.6,16.7,49.6,52.5,102.00,47.2,-18
14,Los Angeles Clippers,111,Sacramento Kings,104,3,3,0,144.0,106.5,97.4,9.1,55.5,1.65,16.4,21.1,68.5,47.9,12.9,52.7,56.5,103.00,59.6,3,1,2,144.0,108.8,106.3,2.6,51.5,1.52,15.7,35.7,79.1,55.2,14.5,49.8,52.6,106.00,48.5,7
15,Minnesota Timberwolves,112,Los Angeles Lakers,111,2,2,0,96.0,106.2,95.5,10.7,61.8,1.62,16.5,19.6,62.9,44.4,13.3,46.4,55.0,98.25,61.6,2,0,2,96.0,107.1,117.9,-10.7,50.0,1.15,13.7,30.6,70.7,49.8,15.7,48.0,54.5,104.25,42.1,1
16,Memphis Grizzlies,112,Indiana Pacers,103,3,2,1,144.0,101.8,105.3,-3.5,64.4,1.72,17.2,26.5,71.3,47.7,13.7,46.3,51.8,94.83,48.6,3,0,3,144.0,95.2,107.1,-11.9,57.7,0.98,14.7,24.5,63.7,44.0,19.5,46.8,52.0,97.67,42.6,9
17,Atlanta Hawks,112,New York Knicks,101,3,2,1,144.0,102.0,100.3,1.7,61.7,1.54,18.0,19.3,60.3,42.0,15.5,51.6,54.9,99.50,52.7,3,2,1,144.0,110.7,103.9,6.8,54.5,1.29,15.3,38.0,67.3,52.5,16.6,48.9,54.7,102.33,53.3,11
18,Dallas Mavericks,88,Los Angeles Clippers,104,2,1,1,96.0,97.1,97.5,-0.5,61.3,2.19,16.8,19.5,74.6,47.1,10.2,45.6,49.2,102.25,52.4,3,3,0,144.0,106.5,97.4,9.1,55.5,1.65,16.4,21.1,68.5,47.9,12.9,52.7,56.5,103.00,59.6,-16
19,Miami Heat,92,Cleveland Cavaliers,102,2,1,1,96.0,104.8,105.4,-0.6,63.8,1.69,18.0,16.9,72.1,47.6,13.9,52.0,58.0,93.25,51.9,3,2,1,144.0,105.2,92.3,12.9,67.8,1.95,19.5,30.5,77.6,54.2,14.2,50.0,52.6,95.83,58.6,-10
20,Utah Jazz,99,Philadelphia 76ers,71,3,2,1,144.0,102.5,86.6,15.9,44.5,1.32,13.4,31.0,76.8,53.7,13.4,46.8,50.7,92.00,62.0,2,0,2,96.0,85.6,109.3,-23.8,50.9,0.63,10.9,27.0,68.0,47.5,22.2,40.8,48.1,96.75,32.6,28
21,Oklahoma City Thunder,139,Orlando Magic,136,2,2,0,106.0,110.6,106.6,4.0,43.5,1.00,13.2,35.8,72.1,54.1,17.6,50.8,56.4,102.79,50.9,2,0,2,106.0,99.6,101.3,-1.8,53.6,1.32,14.4,35.7,65.8,50.4,15.2,44.9,48.9,101.43,48.8,3
22,Toronto Raptors,113,Boston Celtics,103,2,2,0,96.0,102.8,95.3,7.5,58.3,0.98,14.9,28.6,79.1,55.9,20.2,50.0,56.3,106.25,54.7,2,1,1,96.0,102.4,98.1,4.3,76.1,1.59,18.6,25.7,70.0,47.3,16.2,46.2,53.8,105.50,53.3,10
23,Chicago Bulls,94,Detroit Pistons,98,3,2,1,149.0,99.7,95.4,4.2,45.1,0.96,13.2,22.8,67.7,48.0,17.3,51.0,54.8,98.90,52.1,3,3,0,149.0,98.7,92.9,5.8,53.8,1.36,13.6,36.1,83.6,56.7,14.0,43.2,47.3,96.00,51.4,-4
24,Charlotte Hornets,94,Atlanta Hawks,97,2,0,2,96.0,97.4,104.1,-6.7,56.5,1.34,15.0,27.5,84.1,52.8,15.0,45.3,49.3,96.50,44.2,3,2,1,144.0,102.0,100.3,1.7,61.7,1.54,18.0,19.3,60.3,42.0,15.5,51.6,54.9,99.50,52.7,-3
25,Washington Wizards,118,Milwaukee Bucks,113,3,2,1,144.0,103.6,103.3,0.3,55.7,1.02,14.5,31.1,67.3,49.5,19.0,49.0,55.1,102.00,50.0,2,0,2,96.0,105.0,121.2,-16.2,69.4,1.47,17.8,32.0,65.6,47.9,17.0,47.6,54.1,99.50,41.6,5
26,Brooklyn Nets,75,San Antonio Spurs,102,3,0,3,144.0,92.7,110.4,-17.7,52.8,1.43,15.2,21.3,73.1,45.8,13.9,45.0,48.2,95.83,40.4,2,1,1,96.0,105.1,94.9,10.1,52.9,1.45,16.8,27.7,79.8,53.7,15.7,51.4,54.6,98.75,57.8,-27
27,Minnesota Timberwolves,95,Denver Nuggets,78,2,2,0,96.0,106.2,95.5,10.7,61.8,1.62,16.5,19.6,62.9,44.4,13.3,46.4,55.0,98.25,61.6,2,1,1,96.0,92.4,91.8,0.6,59.4,1.14,15.0,33.0,74.5,53.5,18.2,44.8,48.0,98.50,49.6,17
28,Golden State Warriors,112,Houston Rockets,92,3,3,0,144.0,115.2,99.4,15.8,62.3,2.13,18.8,28.5,71.2,50.6,12.3,54.0,57.8,103.17,60.2,2,0,2,96.0,88.5,108.5,-20.0,60.0,1.06,13.3,29.7,74.0,49.5,17.0,39.3,45.1,100.00,37.1,20
29,Los Angeles Lakers,114,Sacramento Kings,132,2,0,2,96.0,107.1,117.9,-10.7,50.0,1.15,13.7,30.6,70.7,49.8,15.7,48.0,54.5,104.25,42.1,3,1,2,144.0,108.8,106.3,2.6,51.5,1.52,15.7,35.7,79.1,55.2,14.5,49.8,52.6,106.00,48.5,-18
30,Portland Trail Blazers,92,Phoenix Suns,110,3,1,2,144.0,96.1,99.7,-3.6,53.2,1.16,15.0,20.4,73.0,47.6,16.7,49.6,52.5,102.00,47.2,3,2,1,144.0,99.0,94.8,4.2,43.6,0.94,11.9,30.7,81.4,55.3,16.5,45.6,50.3,103.00,52.1,-18
31,Utah Jazz,97,Indiana Pacers,76,3,2,1,144.0,102.5,86.6,15.9,44.5,1.32,13.4,31.0,76.8,53.7,13.4,46.8,50.7,92.00,62.0,3,0,3,144.0,95.2,107.1,-11.9,57.7,0.98,14.7,24.5,63.7,44.0,19.5,46.8,52.0,97.67,42.6,21
32,New York Knicks,117,Washington Wizards,110,3,2,1,144.0,110.7,103.9,6.8,54.5,1.29,15.3,38.0,67.3,52.5,16.6,48.9,54.7,102.33,53.3,3,2,1,144.0,103.6,103.3,0.3,55.7,1.02,14.5,31.1,67.3,49.5,19.0,49.0,55.1,102.00,50.0,7
33,Golden State Warriors,134,New Orleans Pelicans,120,3,3,0,144.0,115.2,99.4,15.8,62.3,2.13,18.8,28.5,71.2,50.6,12.3,54.0,57.8,103.17,60.2,3,0,3,144.0,100.3,115.2,-14.8,53.0,1.35,15.2,25.0,73.2,47.4,14.9,47.3,50.8,103.00,39.4,14
34,Brooklyn Nets,91,Memphis Grizzlies,101,3,0,3,144.0,92.7,110.4,-17.7,52.8,1.43,15.2,21.3,73.1,45.8,13.9,45.0,48.2,95.83,40.4,3,2,1,144.0,101.8,105.3,-3.5,64.4,1.72,17.2,26.5,71.3,47.7,13.7,46.3,51.8,94.83,48.6,-10
35,Phoenix Suns,101,Portland Trail Blazers,90,3,2,1,144.0,99.0,94.8,4.2,43.6,0.94,11.9,30.7,81.4,55.3,16.5,45.6,50.3,103.00,52.1,3,1,2,144.0,96.1,99.7,-3.6,53.2,1.16,15.0,20.4,73.0,47.6,16.7,49.6,52.5,102.00,47.2,11
36,Sacramento Kings,109,Los Angeles Clippers,114,3,1,2,144.0,108.8,106.3,2.6,51.5,1.52,15.7,35.7,79.1,55.2,14.5,49.8,52.6,106.00,48.5,3,3,0,144.0,106.5,97.4,9.1,55.5,1.65,16.4,21.1,68.5,47.9,12.9,52.7,56.5,103.00,59.6,-5
