,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Miami Heat,86,Washington Wizards,107,17,5,12,816.0,103.5,111.6,-8.0,53.8,1.33,15.7,27.3,66.4,46.6,15.6,51.0,54.7,89.71,46.3,16,12,4,778.0,106.6,101.9,4.7,62.9,1.72,18.8,28.8,74.3,52.1,15.3,51.9,55.1,95.04,55.3,-21
1,Denver Nuggets,103,Utah Jazz,101,16,5,11,778.0,100.9,106.7,-5.8,56.5,1.36,15.4,33.0,69.8,50.7,15.8,45.8,49.6,95.60,44.4,15,6,9,720.0,107.3,108.6,-1.3,53.9,1.39,15.6,34.2,72.9,53.2,15.5,49.1,53.3,90.43,48.5,2
2,Minnesota Timberwolves,101,Los Angeles Clippers,127,15,1,14,725.0,97.6,108.9,-11.3,63.4,1.58,17.0,30.8,68.9,48.6,14.9,45.0,49.2,97.66,43.9,17,11,6,821.0,112.2,105.5,6.7,66.5,2.02,19.2,28.4,73.4,51.0,13.3,52.9,56.7,95.53,53.9,-26
3,Milwaukee Bucks,108,Cleveland Cavaliers,111,15,7,8,725.0,105.1,103.2,1.9,59.9,1.34,17.8,25.3,70.1,48.8,17.8,53.5,57.1,96.60,50.7,17,10,7,816.0,108.4,107.8,0.7,63.3,1.67,18.1,30.2,70.4,50.2,15.2,50.7,54.7,92.38,49.2,-3
4,Boston Celtics,105,Atlanta Hawks,109,15,7,8,735.0,102.9,99.9,3.1,66.1,1.66,18.9,27.4,71.8,50.1,15.8,50.2,53.7,98.25,52.9,16,14,2,768.0,106.4,98.3,8.1,70.4,1.80,19.9,24.8,72.5,49.5,15.3,52.4,56.0,95.09,55.8,-4
5,Los Angeles Lakers,106,Detroit Pistons,96,15,6,9,725.0,103.6,108.8,-5.2,57.3,1.73,16.2,28.0,69.1,47.8,12.8,48.1,51.7,96.53,46.4,14,5,9,682.0,103.8,105.9,-2.1,59.5,1.68,16.6,31.9,71.4,50.4,13.8,47.9,51.0,95.54,47.8,10
6,Brooklyn Nets,98,New York Knicks,93,16,9,7,773.0,101.3,103.5,-2.1,60.2,1.57,16.9,27.6,70.1,48.9,14.7,48.4,51.8,93.02,48.6,16,1,15,778.0,103.5,113.0,-9.4,59.2,1.54,17.1,30.5,67.2,48.4,15.4,48.4,52.2,90.60,44.9,5
7,Dallas Mavericks,132,Chicago Bulls,129,15,10,5,730.0,111.4,107.0,4.4,53.5,1.63,16.5,28.3,69.1,48.8,13.7,53.2,56.7,97.55,51.9,15,11,4,730.0,109.6,103.6,6.0,59.4,1.52,16.6,35.3,71.5,54.3,15.3,49.4,54.6,93.63,55.0,3
8,Oklahoma City Thunder,104,New Orleans Pelicans,112,16,11,5,778.0,109.4,103.0,6.4,51.5,1.39,15.3,32.2,73.3,53.4,15.0,50.5,55.0,97.26,53.1,17,9,8,826.0,107.5,109.6,-2.2,54.5,1.61,16.4,30.6,74.1,52.1,14.0,50.0,53.9,94.29,49.6,-8
9,Portland Trail Blazers,105,Denver Nuggets,103,16,13,3,793.0,106.1,98.9,7.2,55.4,1.55,16.6,26.9,71.1,49.8,14.5,51.0,54.2,94.70,53.7,16,5,11,778.0,100.9,106.7,-5.8,56.5,1.36,15.4,33.0,69.8,50.7,15.8,45.8,49.6,95.60,44.4,2
10,Indiana Pacers,99,Phoenix Suns,116,16,5,11,773.0,100.1,101.4,-1.3,60.3,1.66,17.2,26.4,73.8,49.8,14.1,47.6,51.1,95.53,49.2,16,8,8,778.0,111.3,109.1,2.2,51.8,1.46,15.9,28.9,66.5,47.9,14.7,53.3,56.8,96.43,51.2,-17
11,Toronto Raptors,117,Sacramento Kings,109,15,11,4,735.0,115.1,108.8,6.3,53.7,1.86,16.7,34.3,65.9,50.1,12.5,52.7,56.2,91.59,52.3,15,4,11,735.0,105.0,110.3,-5.2,55.6,1.26,15.7,33.0,69.1,51.7,16.9,49.7,54.3,95.84,47.5,8
12,Orlando Magic,97,Golden State Warriors,98,16,6,10,768.0,101.8,107.4,-5.6,54.5,1.50,16.5,24.4,71.3,47.9,14.8,50.9,53.3,91.59,45.4,14,11,3,677.0,108.4,100.0,8.4,63.5,1.83,19.0,26.9,68.8,48.8,14.4,53.1,56.5,99.72,56.6,-1
13,Chicago Bulls,102,Charlotte Hornets,95,15,11,4,730.0,109.6,103.6,6.0,59.4,1.52,16.6,35.3,71.5,54.3,15.3,49.4,54.6,93.63,55.0,15,6,9,735.0,101.7,104.2,-2.4,51.8,1.69,14.9,27.3,76.2,50.4,11.8,46.2,50.4,93.58,47.6,7
14,Los Angeles Lakers,95,Washington Wizards,111,15,6,9,725.0,103.6,108.8,-5.2,57.3,1.73,16.2,28.0,69.1,47.8,12.8,48.1,51.7,96.53,46.4,16,12,4,778.0,106.6,101.9,4.7,62.9,1.72,18.8,28.8,74.3,52.1,15.3,51.9,55.1,95.04,55.3,-16
15,Detroit Pistons,102,Boston Celtics,109,14,5,9,682.0,103.8,105.9,-2.1,59.5,1.68,16.6,31.9,71.4,50.4,13.8,47.9,51.0,95.54,47.8,15,7,8,735.0,102.9,99.9,3.1,66.1,1.66,18.9,27.4,71.8,50.1,15.8,50.2,53.7,98.25,52.9,-7
16,San Antonio Spurs,93,Brooklyn Nets,95,18,8,10,909.0,106.1,105.9,0.3,61.8,1.61,18.1,26.7,71.2,49.4,15.4,51.6,55.2,93.54,51.6,16,9,7,773.0,101.3,103.5,-2.1,60.2,1.57,16.9,27.6,70.1,48.9,14.7,48.4,51.8,93.02,48.6,-2
17,Atlanta Hawks,112,Miami Heat,102,16,14,2,768.0,106.4,98.3,8.1,70.4,1.80,19.9,24.8,72.5,49.5,15.3,52.4,56.0,95.09,55.8,17,5,12,816.0,103.5,111.6,-8.0,53.8,1.33,15.7,27.3,66.4,46.6,15.6,51.0,54.7,89.71,46.3,10
18,Memphis Grizzlies,96,Houston Rockets,105,14,8,6,707.0,108.0,106.7,1.3,59.5,1.97,17.9,27.6,70.4,49.0,12.5,50.0,54.1,91.72,51.5,14,9,5,692.0,104.6,101.4,3.2,53.4,1.14,14.7,31.9,71.3,51.1,17.5,50.1,53.7,97.73,49.3,-9
19,Dallas Mavericks,107,Milwaukee Bucks,105,15,10,5,730.0,111.4,107.0,4.4,53.5,1.63,16.5,28.3,69.1,48.8,13.7,53.2,56.7,97.55,51.9,15,7,8,725.0,105.1,103.2,1.9,59.9,1.34,17.8,25.3,70.1,48.8,17.8,53.5,57.1,96.60,50.7,2
20,Philadelphia 76ers,85,Minnesota Timberwolves,77,14,4,10,682.0,91.3,101.6,-10.2,57.8,0.96,14.4,28.3,69.4,48.5,19.9,45.2,49.2,97.62,42.5,15,1,14,725.0,97.6,108.9,-11.3,63.4,1.58,17.0,30.8,68.9,48.6,14.9,45.0,49.2,97.66,43.9,8
21,Toronto Raptors,123,Utah Jazz,104,15,11,4,735.0,115.1,108.8,6.3,53.7,1.86,16.7,34.3,65.9,50.1,12.5,52.7,56.2,91.59,52.3,15,6,9,720.0,107.3,108.6,-1.3,53.9,1.39,15.6,34.2,72.9,53.2,15.5,49.1,53.3,90.43,48.5,19
22,Orlando Magic,86,Los Angeles Clippers,114,16,6,10,768.0,101.8,107.4,-5.6,54.5,1.50,16.5,24.4,71.3,47.9,14.8,50.9,53.3,91.59,45.4,17,11,6,821.0,112.2,105.5,6.7,66.5,2.02,19.2,28.4,73.4,51.0,13.3,52.9,56.7,95.53,53.9,-28
23,Cleveland Cavaliers,90,New York Knicks,87,17,10,7,816.0,108.4,107.8,0.7,63.3,1.67,18.1,30.2,70.4,50.2,15.2,50.7,54.7,92.38,49.2,16,1,15,778.0,103.5,113.0,-9.4,59.2,1.54,17.1,30.5,67.2,48.4,15.4,48.4,52.2,90.60,44.9,3
24,Indiana Pacers,82,Portland Trail Blazers,88,16,5,11,773.0,100.1,101.4,-1.3,60.3,1.66,17.2,26.4,73.8,49.8,14.1,47.6,51.1,95.53,49.2,16,13,3,793.0,106.1,98.9,7.2,55.4,1.55,16.6,26.9,71.1,49.8,14.5,51.0,54.2,94.70,53.7,-6
25,New Orleans Pelicans,85,Golden State Warriors,112,17,9,8,826.0,107.5,109.6,-2.2,54.5,1.61,16.4,30.6,74.1,52.1,14.0,50.0,53.9,94.29,49.6,14,11,3,677.0,108.4,100.0,8.4,63.5,1.83,19.0,26.9,68.8,48.8,14.4,53.1,56.5,99.72,56.6,-27
26,New York Knicks,102,Charlotte Hornets,103,16,1,15,778.0,103.5,113.0,-9.4,59.2,1.54,17.1,30.5,67.2,48.4,15.4,48.4,52.2,90.60,44.9,15,6,9,735.0,101.7,104.2,-2.4,51.8,1.69,14.9,27.3,76.2,50.4,11.8,46.2,50.4,93.58,47.6,-1
27,Oklahoma City Thunder,103,Philadelphia 76ers,91,16,11,5,778.0,109.4,103.0,6.4,51.5,1.39,15.3,32.2,73.3,53.4,15.0,50.5,55.0,97.26,53.1,14,4,10,682.0,91.3,101.6,-10.2,57.8,0.96,14.4,28.3,69.4,48.5,19.9,45.2,49.2,97.62,42.5,12
28,Denver Nuggets,89,Washington Wizards,119,16,5,11,778.0,100.9,106.7,-5.8,56.5,1.36,15.4,33.0,69.8,50.7,15.8,45.8,49.6,95.60,44.4,16,12,4,778.0,106.6,101.9,4.7,62.9,1.72,18.8,28.8,74.3,52.1,15.3,51.9,55.1,95.04,55.3,-30
29,Los Angeles Lakers,96,Boston Celtics,113,15,6,9,725.0,103.6,108.8,-5.2,57.3,1.73,16.2,28.0,69.1,47.8,12.8,48.1,51.7,96.53,46.4,15,7,8,735.0,102.9,99.9,3.1,66.1,1.66,18.9,27.4,71.8,50.1,15.8,50.2,53.7,98.25,52.9,-17
30,Atlanta Hawks,98,Brooklyn Nets,75,16,14,2,768.0,106.4,98.3,8.1,70.4,1.80,19.9,24.8,72.5,49.5,15.3,52.4,56.0,95.09,55.8,16,9,7,773.0,101.3,103.5,-2.1,60.2,1.57,16.9,27.6,70.1,48.9,14.7,48.4,51.8,93.02,48.6,23
31,Cleveland Cavaliers,105,Toronto Raptors,91,17,10,7,816.0,108.4,107.8,0.7,63.3,1.67,18.1,30.2,70.4,50.2,15.2,50.7,54.7,92.38,49.2,15,11,4,735.0,115.1,108.8,6.3,53.7,1.86,16.7,34.3,65.9,50.1,12.5,52.7,56.2,91.59,52.3,14
32,San Antonio Spurs,107,Memphis Grizzlies,101,18,8,10,909.0,106.1,105.9,0.3,61.8,1.61,18.1,26.7,71.2,49.4,15.4,51.6,55.2,93.54,51.6,14,8,6,707.0,108.0,106.7,1.3,59.5,1.97,17.9,27.6,70.4,49.0,12.5,50.0,54.1,91.72,51.5,6
33,Houston Rockets,114,Minnesota Timberwolves,112,14,9,5,692.0,104.6,101.4,3.2,53.4,1.14,14.7,31.9,71.3,51.1,17.5,50.1,53.7,97.73,49.3,15,1,14,725.0,97.6,108.9,-11.3,63.4,1.58,17.0,30.8,68.9,48.6,14.9,45.0,49.2,97.66,43.9,2
