,team1,team1pts,team2,team2pts,1GP,1W,1L,1MIN,1OffRtg,1DefRtg,1NetRtg,1AST%,1AST/TO,1ASTRatio,1OREB%,1DREB%,1REB%,1TOV%,1eFG%,1TS%,1PACE,1PIE,2GP,2W,2L,2MIN,2OffRtg,2DefRtg,2NetRtg,2AST%,2AST/TO,2ASTRatio,2OREB%,2DREB%,2REB%,2TOV%,2eFG%,2TS%,2PACE,2PIE,net
0,Sacramento Kings,97,Detroit Pistons,103,17,6,11,821.0,102.8,111.6,-8.9,54.0,1.26,15.3,32.4,65.1,48.2,16.7,47.7,51.6,93.46,42.9,13,6,7,629.0,101.4,105.1,-3.7,54.4,1.25,15.6,33.8,67.2,50.4,17.2,49.0,51.7,91.46,48.1,-6
1,Portland Trail Blazers,105,New York Knicks,100,16,8,8,778.0,103.7,105.3,-1.6,63.1,1.47,17.5,30.5,71.7,51.2,16.5,49.5,53.6,92.51,48.8,13,7,6,624.0,108.0,105.4,2.6,54.7,1.66,15.9,30.0,73.6,50.8,13.1,49.9,53.4,89.88,50.3,5
2,Atlanta Hawks,95,New Orleans Hornets,86,16,7,9,778.0,101.7,103.6,-1.9,67.0,1.54,19.2,25.3,68.6,47.7,17.2,52.4,54.6,91.53,49.5,16,8,8,773.0,106.1,106.1,0.0,58.1,1.56,17.1,32.5,73.2,52.4,15.4,50.3,53.4,91.16,48.9,9
3,Los Angeles Clippers,78,Denver Nuggets,92,16,9,7,768.0,106.9,103.9,3.0,61.6,1.64,17.7,33.9,69.8,51.5,15.3,50.1,53.2,91.72,52.3,15,12,3,730.0,109.6,103.7,5.9,61.8,1.65,18.0,33.6,68.3,50.6,15.5,51.3,54.6,97.18,54.1,-14
4,Philadelphia 76ers,103,Los Angeles Lakers,99,14,5,9,677.0,99.2,105.3,-6.1,61.1,1.74,18.4,25.2,69.6,47.1,14.4,49.7,51.7,93.73,46.5,16,5,11,768.0,105.0,106.8,-1.8,62.4,1.58,17.8,28.9,71.5,50.6,15.5,51.3,54.3,95.97,49.7,4
5,Sacramento Kings,97,Cleveland Cavaliers,94,17,6,11,821.0,102.8,111.6,-8.9,54.0,1.26,15.3,32.4,65.1,48.2,16.7,47.7,51.6,93.46,42.9,14,6,8,672.0,105.1,109.5,-4.5,55.8,1.59,16.0,30.7,66.4,47.9,13.8,47.5,52.2,94.54,46.3,3
6,Washington Wizards,81,Indiana Pacers,89,16,7,9,778.0,100.1,99.7,0.5,63.7,1.50,18.0,26.5,70.0,48.8,16.4,49.3,52.5,94.33,50.0,15,9,6,725.0,100.8,98.2,2.6,56.1,1.31,15.5,35.7,69.6,52.4,16.6,46.4,50.0,90.21,51.6,-8
7,Chicago Bulls,96,Orlando Magic,94,16,12,4,783.0,105.5,98.5,7.0,63.8,1.64,17.8,36.0,68.7,52.6,15.7,48.0,52.1,89.23,56.5,14,2,12,677.0,107.5,115.6,-8.1,61.8,1.84,18.8,28.3,70.2,49.1,14.2,51.7,54.7,91.07,45.4,2
8,Portland Trail Blazers,79,Toronto Raptors,102,16,8,8,778.0,103.7,105.3,-1.6,63.1,1.47,17.5,30.5,71.7,51.2,16.5,49.5,53.6,92.51,48.8,15,5,10,735.0,108.5,108.2,0.3,64.1,1.81,18.9,31.9,68.2,49.7,14.8,50.9,54.4,90.38,49.4,-23
9,Memphis Grizzlies,93,Boston Celtics,83,17,10,7,826.0,102.2,100.3,1.9,55.3,1.42,15.8,36.4,72.2,53.4,15.8,46.1,50.0,88.07,49.9,15,8,7,745.0,99.3,97.8,1.5,62.3,1.53,17.7,27.8,68.7,48.8,15.9,48.4,52.1,91.26,53.2,10
10,Dallas Mavericks,109,Miami Heat,119,15,7,8,740.0,106.9,104.5,2.4,60.1,1.96,18.1,24.9,73.0,49.6,12.5,50.9,55.1,95.61,51.9,13,8,5,644.0,110.0,100.7,9.3,57.1,1.71,17.5,27.4,67.3,48.4,13.9,53.1,56.5,89.74,56.0,-10
11,New Orleans Hornets,92,Houston Rockets,104,16,8,8,773.0,106.1,106.1,0.0,58.1,1.56,17.1,32.5,73.2,52.4,15.4,50.3,53.4,91.16,48.9,17,8,9,816.0,108.1,104.9,3.1,60.3,1.33,17.1,31.3,69.4,50.6,17.6,52.4,56.0,95.82,50.8,-12
12,San Antonio Spurs,117,Milwaukee Bucks,110,15,12,3,725.0,106.4,99.2,7.2,63.2,1.74,19.2,21.5,73.5,48.9,14.9,53.7,57.0,94.74,54.6,15,8,7,720.0,105.1,105.6,-0.5,59.3,1.55,16.9,34.1,65.3,49.6,15.4,48.5,51.8,96.77,49.8,7
13,Brooklyn Nets,110,Oklahoma City Thunder,93,15,11,4,730.0,109.1,104.4,4.7,57.1,1.39,16.2,34.0,70.2,52.3,16.2,50.6,55.3,89.82,52.4,16,11,5,778.0,109.4,101.7,7.7,57.2,1.33,16.7,28.0,68.9,49.9,16.9,52.7,57.9,95.04,55.1,17
14,Philadelphia 76ers,89,Phoenix Suns,95,14,5,9,677.0,99.2,105.3,-6.1,61.1,1.74,18.4,25.2,69.6,47.1,14.4,49.7,51.7,93.73,46.5,14,5,9,672.0,97.8,101.7,-3.9,62.3,1.37,17.0,30.5,68.3,49.2,17.2,46.5,50.4,93.46,47.3,-6
15,Minnesota Timberwolves,84,Utah Jazz,106,15,3,12,720.0,100.9,109.3,-8.4,62.7,1.45,16.7,33.3,69.3,50.2,16.2,45.8,50.6,92.10,45.4,14,10,4,677.0,105.8,107.1,-1.3,64.9,1.72,18.5,31.2,69.6,50.0,15.2,49.8,53.9,91.50,50.6,-22
16,Los Angeles Clippers,94,Golden State Warriors,115,16,9,7,768.0,106.9,103.9,3.0,61.6,1.64,17.7,33.9,69.8,51.5,15.3,50.1,53.2,91.72,52.3,15,8,7,720.0,105.0,106.4,-1.4,62.7,1.57,18.1,26.0,69.1,48.7,15.8,51.0,55.3,95.13,49.0,-21
17,San Antonio Spurs,83,New York Knicks,100,15,12,3,725.0,106.4,99.2,7.2,63.2,1.74,19.2,21.5,73.5,48.9,14.9,53.7,57.0,94.74,54.6,13,7,6,624.0,108.0,105.4,2.6,54.7,1.66,15.9,30.0,73.6,50.8,13.1,49.9,53.4,89.88,50.3,-17
18,Minnesota Timberwolves,101,Denver Nuggets,97,15,3,12,720.0,100.9,109.3,-8.4,62.7,1.45,16.7,33.3,69.3,50.2,16.2,45.8,50.6,92.10,45.4,15,12,3,730.0,109.6,103.7,5.9,61.8,1.65,18.0,33.6,68.3,50.6,15.5,51.3,54.6,97.18,54.1,4
19,Cleveland Cavaliers,106,Charlotte Bobcats,104,14,6,8,672.0,105.1,109.5,-4.5,55.8,1.59,16.0,30.7,66.4,47.9,13.8,47.5,52.2,94.54,46.3,14,3,11,677.0,100.2,109.7,-9.5,51.6,1.20,14.1,30.2,67.1,48.2,15.8,46.0,51.3,91.53,44.2,2
20,Sacramento Kings,105,Toronto Raptors,96,17,6,11,821.0,102.8,111.6,-8.9,54.0,1.26,15.3,32.4,65.1,48.2,16.7,47.7,51.6,93.46,42.9,15,5,10,735.0,108.5,108.2,0.3,64.1,1.81,18.9,31.9,68.2,49.7,14.8,50.9,54.4,90.38,49.4,9
21,Brooklyn Nets,115,Washington Wizards,113,15,11,4,730.0,109.1,104.4,4.7,57.1,1.39,16.2,34.0,70.2,52.3,16.2,50.6,55.3,89.82,52.4,16,7,9,778.0,100.1,99.7,0.5,63.7,1.50,18.0,26.5,70.0,48.8,16.4,49.3,52.5,94.33,50.0,2
22,Atlanta Hawks,84,Detroit Pistons,85,16,7,9,778.0,101.7,103.6,-1.9,67.0,1.54,19.2,25.3,68.6,47.7,17.2,52.4,54.6,91.53,49.5,13,6,7,629.0,101.4,105.1,-3.7,54.4,1.25,15.6,33.8,67.2,50.4,17.2,49.0,51.7,91.46,48.1,-1
23,Indiana Pacers,75,Boston Celtics,94,15,9,6,725.0,100.8,98.2,2.6,56.1,1.31,15.5,35.7,69.6,52.4,16.6,46.4,50.0,90.21,51.6,15,8,7,745.0,99.3,97.8,1.5,62.3,1.53,17.7,27.8,68.7,48.8,15.9,48.4,52.1,91.26,53.2,-19
24,Portland Trail Blazers,86,Memphis Grizzlies,84,16,8,8,778.0,103.7,105.3,-1.6,63.1,1.47,17.5,30.5,71.7,51.2,16.5,49.5,53.6,92.51,48.8,17,10,7,826.0,102.2,100.3,1.9,55.3,1.42,15.8,36.4,72.2,53.4,15.8,46.1,50.0,88.07,49.9,2
25,Chicago Bulls,96,Miami Heat,89,16,12,4,783.0,105.5,98.5,7.0,63.8,1.64,17.8,36.0,68.7,52.6,15.7,48.0,52.1,89.23,56.5,13,8,5,644.0,110.0,100.7,9.3,57.1,1.71,17.5,27.4,67.3,48.4,13.9,53.1,56.5,89.74,56.0,7
